('https://image1.ljcdn.com/shfdfs-image/20171209/e819dd92-18cb-4c90-b7ce-8b48f51b336f.jpg.296x216.jpg', '配套齐全的公寓，价格低，采光充足', '派克公寓  | 1室1厅 | 52.32平米 | 北 | 精装 | 无电梯', '低楼层(共6层)板楼  -  元和', '52万', '单价9939元/平米')
('https://image1.ljcdn.com/320500-inspection/d8962e57-14c5-4f84-8382-fe9848b53d19.jpg.296x216.jpg', '星湖花海 3室2厅 180万', '星湖花海  | 3室2厅 | 92平米 | 南 | 其他 | 有电梯', '高楼层(共20层)2016年建板楼  -  元和', '180万', '单价19566元/平米')
('https://image1.ljcdn.com/320500-inspection/test-8c9e5f95-b1a4-4bca-9b1e-925d02ae597e.png.296x216.jpg', '苏州小外滩，花好月圆，精装两房，小区新，环境好', '花好月圆  | 2室2厅 | 94.15平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  元和', '185万', '单价19650元/平米')
('https://image1.ljcdn.com/320500-inspection/test-fa62de65-4448-46e8-82ea-a921f392931a.png.296x216.jpg', '万科北宸之光 3室2厅 245万', '万科北宸之光  | 3室2厅 | 95平米 | 南 | 其他 | 有电梯', '低楼层(共34层)2017年建板塔结合  -  活力岛', '245万', '单价25790元/平米')
('https://image1.ljcdn.com/320500-inspection/test-1b26ca92-cf1d-4437-834f-97dd34ce0222.png.296x216.jpg', '尚景湾毛坯价格含车位，看房方便！', '尚景湾  | 2室2厅 | 100.3平米 | 南 | 毛坯 | 有电梯', '低楼层(共21层)2015年建板楼  -  黄桥', '178万', '单价17747元/平米')
('https://image1.ljcdn.com/320500-inspection/test-fbed6e2e-fa91-4a53-ade3-461e36e1fd8d.png.296x216.jpg', '房东诚意出售，看房方便，红本在手', '国际服装城A区  | 3室2厅 | 153.03平米 | 南 北 | 其他 | 有电梯', '高楼层(共24层)2005年建板楼  -  元和', '220万', '单价14377元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e2ca2c60-5003-4226-a90c-25d697d0c0d8.png.296x216.jpg', '康桥精装两房，楼层好，看房方便，无贷款。', '康桥丽都  | 2室2厅 | 87.17平米 | 南 北 | 精装 | 有电梯', '中楼层(共24层)2009年建板楼  -  元和', '236万', '单价27074元/平米')
('https://image1.ljcdn.com/320500-inspection/test-4c65d71d-825a-4db2-a483-e81335bbd78e.png.296x216.jpg', '华辰嘉园南区 3室2厅 200万', '华辰嘉园南区  | 3室2厅 | 88.41平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2008年建板楼  -  活力岛', '200万', '单价22622元/平米')
('https://image1.ljcdn.com/320500-inspection/cbcce29b-e033-4560-a8a2-6a402256be83.jpg.296x216.jpg', '水漾花城30万精装房，4号线边上，户型好，业主诚心卖', '恒基水漾花城  | 2室1厅 | 78.7平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2017年建塔楼  -  活力岛', '190万', '单价24143元/平米')
('https://image1.ljcdn.com/320500-inspection/test-ad5a4a33-1c44-4c21-8317-3eb3489d2e3a.png.296x216.jpg', '香城颐园 3室2厅 278万', '香城颐园  | 3室2厅 | 116.8平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2011年建板楼  -  元和', '278万', '单价23802元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170416/24e82318-4dc5-4795-a62a-50488d1f3206.jpg.296x216.jpg', '精装公寓房，通透户型，配套齐全', '派克公寓  | 1室1厅 | 53.26平米 | 北 | 精装 | 无电梯', '中楼层(共6层)板楼  -  元和', '55万', '单价10327元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160930/56464ec3-01d5-4544-b551-2c472a92ca8b.jpg.296x216.jpg', '中环百汇广场精装修2房，58平60万', '中环百汇商业广场  | 2室1厅 | 58平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  元和', '60万', '单价10345元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170811/3a2a21e3-6c00-4d9d-b52b-ee7da281b0e4.jpg.296x216.jpg', '合景峰汇十期，采光充足，诚心出售', '合景峰汇十期  | 1室1厅 | 94平米 | 南 | 精装 | 有电梯', '高楼层(共19层)2013年建板楼  -  活力岛', '123万', '单价13086元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161013/178f8606-b1cc-4efc-8497-c47073cc90e2.jpg.296x216.jpg', '香城花园三区 满五唯一   通透户型', '香城花园三区  | 3室2厅 | 123.06平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2008年建板楼  -  元和', '245万', '单价19909元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170118/79fe7725-33d6-4fd7-b908-89ef2b210e1a.jpg.296x216.jpg', '湖景房 大平层 入户花园 带车位', '合景峰汇三期  | 4室2厅 | 177.3平米 | 南 北 | 精装 | 有电梯', '低楼层(共23层)2010年建板楼  -  活力岛', '390万', '单价21997元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170803/909f41d1-e1f4-4c80-95ad-2b79bc33b6ce.jpg.296x216.jpg', '雅戈尔紫玉花园 南北通透大四房 送车位 看房方便', '雅戈尔紫玉花园  | 4室2厅 | 163平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共11层)2016年建板塔结合  -  元和', '418万', '单价25645元/平米')
('https://image1.ljcdn.com/320500-inspection/test-72c19e66-530e-4fcd-af3f-aaa7649203dc.png.296x216.jpg', '金辉融侨城 全新毛坯 中高楼层 采光好 三房两厅一卫', '金辉融侨城  | 3室2厅 | 99.86平米 | 南 | 毛坯 | 有电梯', '高楼层(共24层)2015年建板楼  -  活力岛', '220万', '单价22031元/平米')
