('https://image1.ljcdn.com/210100-inspection/5432586b-66d6-4eca-bdd4-0bdfd8f2b1ab.JPG.296x216.jpg', '恒泰骏景 2室1厅 60万', '恒泰骏景  | 2室1厅 | 76.77平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  于洪区', '60万', '单价7816元/平米')
('https://image1.ljcdn.com/210100-inspection/566d0075-20fb-42cb-97c7-01edad09b4c2.jpg.296x216.jpg', '碧桂园银河城天域二期 3室1厅 99.5万', '碧桂园银河城天域二期  | 3室1厅 | 116平米 | 南 北 | 其他', '低楼层(共30层)板楼  -  于洪区', '99.5万', '单价8578元/平米')
('https://image1.ljcdn.com/210100-inspection/c3764090-4ff5-4853-95d5-12c62c1195af.JPG.296x216.jpg', '恒大城一期 2室2厅 75万', '恒大城一期  | 2室2厅 | 79.16平米 | 东南 北 | 其他', '中楼层(共11层)2014年建板塔结合  -  于洪区', '75万', '单价9475元/平米')
('https://image1.ljcdn.com/210100-inspection/6f4d5e33-9368-48d6-b1f8-c5da51a96250.JPG.296x216.jpg', '恒大城一期 3室2厅 107万', '恒大城一期  | 3室2厅 | 128平米 | 南 北 | 其他', '中楼层(共11层)2014年建板塔结合  -  于洪区', '107万', '单价8360元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadf3964888-4dce-4ce7-86c1-3dc7c0d225f7.jpg.296x216.jpg', '于洪新城宏发三千院 超大四室 精装修 户型方正 采光好', '宏发三千院  | 4室2厅 | 134.12平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  于洪区', '120万', '单价8948元/平米')
('https://image1.ljcdn.com/210100-inspection/d8d41dbe-bc6f-4a66-968b-e5af479c6727.JPG.296x216.jpg', '依云北郡B区 精装修 多层顶楼带阁楼', '依云北郡B区  | 6室1厅 | 86.52平米 | 南 北 | 精装', '高楼层(共6层)2008年建板楼  -  于洪区', '90万', '单价10403元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploaddd029c2b-af34-4c89-b5ff-155f8259c808.JPG.296x216.jpg', '依云北郡C区 精装修 南北通透 多层顶楼带阁楼。', '依云北郡C区  | 6室3厅 | 189.11平米 | 南 北 | 其他', '高楼层(共6层)2015年建板楼  -  于洪区', '145万', '单价7668元/平米')
('https://image1.ljcdn.com/210100-inspection/049d8e62-c6b6-4fa1-8162-8562e055a274.JPG.296x216.jpg', '远洋公馆   远洋物业   基本上沈阳的好盘小区', '远洋公馆  | 4室3厅 | 235.64平米 | 南 北 | 其他', '高楼层(共7层)板楼  -  于洪区', '273万', '单价11586元/平米')
('https://image1.ljcdn.com/210100-inspection/be13d87c-dbcc-4273-aa34-e60e7f30ade7.jpg.296x216.jpg', '环北三期，精装修，拎包即住，业主诚心卖', '环北家园三期  | 2室1厅 | 92.05平米 | 南 | 其他', '低楼层(共6层)暂无数据  -  于洪区', '61万', '单价6627元/平米')
('https://image1.ljcdn.com/210100-inspection/f145487e-20dd-4ce1-a08a-1825b4ba5e41.jpg.296x216.jpg', '宏发华城世界橙郡1 3室2厅 117万', '宏发华城世界橙郡1  | 3室2厅 | 138.62平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  于洪区', '117万', '单价8441元/平米')
('https://image1.ljcdn.com/210100-inspection/fdf663ed-66be-4b43-bc10-c45af3aa041d.jpg.296x216.jpg', '宏发英里 2室2厅 56万', '宏发英里  | 2室2厅 | 70平米 | 南 北 | 精装', '高楼层(共33层)板楼  -  于洪区', '56万', '单价8000元/平米')
('https://image1.ljcdn.com/210100-inspection/27a3a874-f074-447a-ae3c-4756335eb7e2.jpg.296x216.jpg', '保利溪湖林语三期 2室1厅 85万', '保利溪湖林语三期  | 2室1厅 | 92.13平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  于洪区', '85万', '单价9227元/平米')
('https://image1.ljcdn.com/210100-inspection/f55e37bd-7081-4ac3-a099-688ab15dbe34.jpg.296x216.jpg', '新上碧桂园银河城星座 南北两室 精装修 拎包即住', '碧桂园银河城星座  | 2室2厅 | 94平米 | 南 北 | 精装', '低楼层(共30层)板楼  -  于洪区', '95万', '单价10107元/平米')
('https://image1.ljcdn.com/210100-inspection/063dd841-ae0a-4b8a-94c3-cc015aa4c74b.JPG.296x216.jpg', '艺术名家 3室2厅 118万', '艺术名家  | 3室2厅 | 127.79平米 | 南 北 | 精装', '低楼层(共7层)暂无数据  -  于洪区', '118万', '单价9234元/平米')
('https://image1.ljcdn.com/210100-inspection/8cea1af2-5605-4911-80f0-784ad200f480.JPG.296x216.jpg', '七彩阳光 精装 复式 装修保持好 交通便利 配套齐全', '七彩阳光  | 2室1厅 | 39.86平米 | 南 | 精装', '中楼层(共11层)2006年建板楼  -  于洪区', '45万', '单价11290元/平米')
('https://image1.ljcdn.com/210100-inspection/76dfa9fc-a602-46a7-af1e-2f8a7b53628e.JPG.296x216.jpg', '绿地老街坊 2室1厅 47万', '绿地老街坊  | 2室1厅 | 73.77平米 | 南 | 其他', '低楼层(共24层)2013年建板楼  -  于洪区', '47万', '单价6372元/平米')
('https://image1.ljcdn.com/210100-inspection/72c498ee-eaf9-4fb6-85e7-1eaa89c9f354.jpg.296x216.jpg', '银亿万万城 3室2厅 82万', '银亿万万城  | 3室2厅 | 98.52平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  于洪区', '82万', '单价8324元/平米')
('https://image1.ljcdn.com/210100-inspection/9aa897a5-6fb2-406c-83f5-9768cb954cb7.JPG.296x216.jpg', '恒大城一期 2室2厅 72万', '恒大城一期  | 2室2厅 | 79.16平米 | 西南 | 其他', '高楼层(共11层)2014年建板塔结合  -  于洪区', '72万', '单价9096元/平米')
('https://image1.ljcdn.com/210100-inspection/bcfbdad8-c919-4082-8bce-cf6bf576c54f.JPG.296x216.jpg', '恒大城二期 2室2厅 75万', '恒大城二期  | 2室2厅 | 91平米 | 东南 | 其他', '高楼层(共28层)2014年建板塔结合  -  于洪区', '75万', '单价8242元/平米')
('https://image1.ljcdn.com/210100-inspection/887c549a-630c-4284-b530-5e951fffe619.JPG.296x216.jpg', '亚都名苑，清水两室，南北通透，不临街，采光好', '亚都名苑  | 2室2厅 | 97.59平米 | 南 北 | 毛坯', '中楼层(共9层)2012年建板楼  -  于洪区', '69万', '单价7071元/平米')
('https://image1.ljcdn.com/210100-inspection/4abd4d27-3c12-4da3-9b4c-303e86494480.JPG.296x216.jpg', '于洪区依云北郡B  小高层 标准南向一室户型  拎包入住', '依云北郡B区  | 1室1厅 | 49.22平米 | 南 | 精装', '中楼层(共11层)2008年建板楼  -  于洪区', '39万', '单价7924元/平米')
('https://image1.ljcdn.com/210100-inspection/1886ea06-a7fb-48eb-9f95-bc435210db1a.jpg.296x216.jpg', '恒大绿洲 于洪新城 南北三室 精装修 拎包入住', '恒大绿洲三期  | 3室2厅 | 119.03平米 | 南 北 | 其他', '低楼层(共32层)板楼  -  于洪区', '95万', '单价7982元/平米')
('https://image1.ljcdn.com/210100-inspection/22e18a5a-0d39-4234-8e39-0f81b1a8c196.JPG.296x216.jpg', '亚都名苑 四居室 精装修 顶楼带阁楼 露台 储物间', '亚都名苑  | 4室3厅 | 113.22平米 | 南 北 | 简装', '高楼层(共6层)2012年建板楼  -  于洪区', '76.5万', '单价6757元/平米')
('https://image1.ljcdn.com/210100-inspection/eaa0a7dd-a237-44a6-9e74-c71f435fc5d6.jpg.296x216.jpg', '宏发华城世界橙郡1 1室1厅 35万', '宏发华城世界橙郡1  | 1室1厅 | 50.68平米 | 南 | 精装', '高楼层(共18层)2008年建板楼  -  于洪区', '35万', '单价6907元/平米')
('https://image1.ljcdn.com/210100-inspection/c2fd00b6-0a9c-4ba9-ba34-d366ee5dea01.jpg.296x216.jpg', '恒大城二期原装 四室两卫 ，精装修，拎包即住，物业好', '恒大城二期  | 4室2厅 | 178.46平米 | 东 南 北 | 其他', '高楼层(共28层)2014年建板塔结合  -  于洪区', '150万', '单价8406元/平米')
('https://image1.ljcdn.com/210100-inspection/e374ae7f-e1f3-4b16-a009-b27d162cd82a.jpg.296x216.jpg', '银亿万万城 2室1厅 44万', '银亿万万城  | 2室1厅 | 50平米 | 南 | 其他', '中楼层(共11层)2008年建板楼  -  于洪区', '44万', '单价8800元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload9ee03598-7233-4e30-af56-da9baef828db.JPG.296x216.jpg', '依云北郡B区，两室两厅一厨两卫 精装修', '依云北郡B区  | 2室2厅 | 64.19平米 | 南 北 | 精装', '低楼层(共9层)2008年建板楼  -  于洪区', '83.5万', '单价13009元/平米')
