('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload92662a90-6e06-4386-a6a6-69d133013027.jpg.296x216.jpg', '长白岛 万科城二期 南向 户型规整 两室 中间好楼层', '万科城二期  | 2室2厅 | 102.04平米 | 南 | 精装', '低楼层(共33层)2006年建板塔结合  -  和平区', '175万', '单价17151元/平米')
('https://image1.ljcdn.com/210100-inspection/96c714f3-fb15-4352-a881-b035bc20977d.JPG.296x216.jpg', '沈阳广播电视台家属院交通便利配套齐全楼层好总价低', '沈阳广播电视台家属院  | 4室1厅 | 113.29平米 | 南 北 | 简装', '中楼层(共7层)暂无数据  -  和平区', '85万', '单价7503元/平米')
('https://image1.ljcdn.com/210100-inspection/e4c2726f-c3e5-47f7-8a78-a73d5fe0729c.jpg.296x216.jpg', '长白岛 三室两厅 清水房中间楼层 送入户花园 有钥匙', '格林生活坊一期  | 3室2厅 | 128.73平米 | 南 北 | 毛坯', '低楼层(共24层)2009年建板楼  -  和平区', '167万', '单价12973元/平米')
('https://image1.ljcdn.com/210100-inspection/38cbe2a7-15bc-4960-a077-b3f5afda4339.JPG.296x216.jpg', '和平区 长白岛内 半岛公馆 河景房大平层 清水', '半岛公馆  | 4室1厅 | 268平米 | 南 北 | 毛坯', '低楼层(共31层)2015年建板楼  -  和平区', '290万', '单价10821元/平米')
('https://image1.ljcdn.com/210100-inspection/test-c9d9907e-dd9c-4248-8ab3-c636156ed690.png.296x216.jpg', '长白岛 华润幸福里 洋房园区 精装两室 南北通透赠露台', '华润幸福里  | 2室2厅 | 97.42平米 | 南 北 | 精装', '低楼层(共24层)2014年建板楼  -  和平区', '229.5万', '单价23558元/平米')
('https://image1.ljcdn.com/210100-inspection/70ba282f-10d4-460e-9d58-a02ada855e3c.jpg.296x216.jpg', '万科城二期 采光好，中间楼层，诚心出售', '万科城二期  | 3室1厅 | 148.74平米 | 南 | 其他', '中楼层(共34层)2006年建板塔结合  -  和平区', '210万', '单价14119元/平米')
('https://image1.ljcdn.com/210100-inspection/1cc809db-e3ce-4a16-bd5a-693d12050582.JPG.296x216.jpg', '中国北方航空城 交通方便 封闭园区 装修保持好', '中国北方航空城  | 2室1厅 | 70平米 | 南 北 | 精装', '高楼层(共6层)2004年建板楼  -  和平区', '68万', '单价9715元/平米')
('https://image1.ljcdn.com/210100-inspection/0d1bcb2b-345d-4ed0-953f-f9381b04d61e.jpg.296x216.jpg', '南北通透标准户型，自主装修保持好，看房方便。', '格林观堂二期  | 2室2厅 | 100.57平米 | 南 北 | 其他', '中楼层(共24层)2012年建板楼  -  和平区', '185万', '单价18396元/平米')
('https://image1.ljcdn.com/210100-inspection/68cd511f-c04c-49b3-b5ec-33969ef9f7b6.jpg.296x216.jpg', '长白万科鹿特丹  精装修 看房方便 三室 无遮挡', '万科鹿特丹  | 3室2厅 | 169.81平米 | 南 北 | 其他', '中楼层(共31层)2016年建板楼  -  和平区', '285万', '单价16784元/平米')
('https://image1.ljcdn.com/210100-inspection/4b5cfd87-f659-4e97-8aed-e8bfffa6a5d1.jpg.296x216.jpg', '格林生活坊一期 2室2厅 175万', '格林生活坊一期  | 2室2厅 | 100.17平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  和平区', '175万', '单价17471元/平米')
('https://image1.ljcdn.com/210100-inspection/964b864f-f936-45f2-bb8d-e726156cc54a.jpg.296x216.jpg', '和平长白南九洲湾景汇 带车库 带地下室', '九洲湾景汇  | 4室2厅 | 146平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  和平区', '230万', '单价15754元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload4e75640f-5a0a-41d3-a5f3-1ea8bcf3844f.jpg.296x216.jpg', '新加坡城 电梯洋房跃层   带空中花园', '新加坡城  | 4室3厅 | 237.3平米 | 南 北 | 精装', '高楼层(共6层)2012年建板楼  -  和平区', '330万', '单价13907元/平米')
('https://image1.ljcdn.com/210100-inspection/cf2f9efa-34a9-4660-a2a0-5c888a046d23.jpg.296x216.jpg', '中海国际社区 精装修四室， 采光好', '中海国际社区二期  | 4室2厅 | 161.76平米 | 南 北 | 其他', '低楼层(共33层)2011年建板楼  -  和平区', '260万', '单价16074元/平米')
('https://image1.ljcdn.com/210100-inspection/c89333a6-b579-4eef-a5d3-0fcac935d206.jpg.296x216.jpg', '长白岛 长白苑 小多层 标准户型 无欠款 无户口', '长白苑  | 4室2厅 | 182平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  和平区', '105万', '单价5770元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadb1eb50ae-d912-4282-886b-4cc460ee47d4.jpg.296x216.jpg', '长白万科城 三室两厅两卫 南向跃层 保持好', '万科城二期  | 3室2厅 | 163.53平米 | 南 | 精装', '高楼层(共26层)2006年建板塔结合  -  和平区', '340万', '单价20792元/平米')
('https://image1.ljcdn.com/210100-inspection/a5a69e2d-848d-44a7-8e64-7ff37c089a4e.jpg.296x216.jpg', '长白 新加坡城 精装 满五 赠送家具家电 万科物业', '新加坡城  | 3室2厅 | 96.41平米 | 南 西 北 | 精装', '高楼层(共32层)2012年建板楼  -  和平区', '130万', '单价13485元/平米')
('https://image1.ljcdn.com/210100-inspection/3dfbb664-77e3-4250-a40c-6b87e3cc875b.JPG.296x216.jpg', '和平 汇景新世界 南北通透四居室 视野开阔 不挡光', '汇景新世界  | 4室2厅 | 191平米 | 南 北 | 精装', '高楼层(共31层)2012年建板楼  -  和平区', '405万', '单价21205元/平米')
('https://image1.ljcdn.com/210100-inspection/6a03a45f-ac0a-42dc-b63d-6906e8463562.JPG.296x216.jpg', '世茂新五里河 4室2厅 246万', '世茂新五里河  | 4室2厅 | 153.92平米 | 南 北 | 其他', '低楼层(共58层)2016年建板楼  -  和平区', '246万', '单价15983元/平米')
('https://image1.ljcdn.com/210100-inspection/582cc6dc-046d-4376-beb2-9f9845492281.jpg.296x216.jpg', '长白 万科鹿特丹 精装两室  采光好', '万科鹿特丹  | 2室2厅 | 95平米 | 南 北 | 其他', '中楼层(共27层)2016年建板楼  -  和平区', '180万', '单价18948元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload597277e7-65fe-47cc-9b1d-c364bd6c3323.jpg.296x216.jpg', '汇锦华府 清水房 楼层好 格局方正 看房方便', '汇锦华府  | 2室1厅 | 87.65平米 | 南 北 | 其他', '高楼层(共34层)2016年建板楼  -  和平区', '109万', '单价12436元/平米')
('https://image1.ljcdn.com/210100-inspection/5153c4ae-ca0f-4022-9fb0-034100d5fff5.JPG.296x216.jpg', '文化路 盛京医院 金科名苑 中间楼层 展览馆', '金科名苑  | 2室2厅 | 113.8平米 | 南 北 | 简装', '中楼层(共24层)2005年建板楼  -  和平区', '86万', '单价7558元/平米')
('https://image1.ljcdn.com/210100-inspection/c838054a-f90a-4b79-a406-b7cb9ac90aea.JPG.296x216.jpg', '长白岛 精装大三居 楼层好 拎包入住 采光好 视野好', '远洋天地  | 3室2厅 | 141.82平米 | 南 北 | 其他', '高楼层(共11层)2008年建板楼  -  和平区', '305万', '单价21507元/平米')
('https://image1.ljcdn.com/210100-inspection/45771e4d-b03b-40cb-8770-1584f351b919.JPG.296x216.jpg', '五里河城 一室精装 南向 家具家电齐全  采光好 楼层好', '五里河城  | 1室1厅 | 60.82平米 | 南 | 其他', '高楼层(共24层)2006年建板楼  -  和平区', '52万', '单价8550元/平米')
('https://image1.ljcdn.com/210100-inspection/a165cbf1-ca56-4310-833e-3103adddf20a.jpg.296x216.jpg', '长白岛格林生活坊精装三室户型方正', '格林生活坊一期  | 3室2厅 | 116平米 | 南 北 | 其他', '中楼层(共26层)2009年建板楼  -  和平区', '179万', '单价15432元/平米')
('https://image1.ljcdn.com/210100-inspection/8414a544-8721-40b2-8bb9-66831f4ce3f8.jpg.296x216.jpg', '长白 圣水苑 省委小区 精装两居室 采光充足 视野好', '圣水苑  | 2室2厅 | 126平米 | 南 北 | 其他', '高楼层(共30层)2006年建板楼  -  和平区', '188万', '单价14921元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadaf41a4da-4d48-4583-99db-db3b6c2c3d12.JPG.296x216.jpg', '和平区 华润悦府 南向两居室 光线好', '华润悦府  | 2室1厅 | 107.66平米 | 南 | 精装', '低楼层(共33层)2013年建板楼  -  和平区', '260万', '单价24151元/平米')
('https://image1.ljcdn.com/210100-inspection/c64ba65a-9de0-4929-9ce6-90cf1949fb5c.JPG.296x216.jpg', '御景新世界 150平三室 南北通透 标准户型  诚心卖', '御景新世界  | 3室2厅 | 149.83平米 | 南 北 | 其他', '低楼层(共33层)2014年建板楼  -  和平区', '380万', '单价25363元/平米')
('https://image1.ljcdn.com/210100-inspection/458323a3-11a7-4bab-8b8e-af783d6b3909.JPG.296x216.jpg', '长白岛 万科城三期 两室两厅一卫 中间楼层全天采光', '万科城三期  | 2室2厅 | 100.33平米 | 西南 | 精装', '高楼层(共26层)2006年建板塔结合  -  和平区', '200万', '单价19935元/平米')
('https://image1.ljcdn.com/210100-inspection/ea7fa169-9354-4b26-adca-e5856450651d.jpg.296x216.jpg', '长白岛 格林观堂二期 南北通透 精装修', '格林观堂二期  | 2室1厅 | 93.74平米 | 南 北 | 其他', '中楼层(共24层)2012年建板楼  -  和平区', '175万', '单价18669元/平米')
('https://image1.ljcdn.com/210100-inspection/8f782247-3b95-46de-9667-b9b461009563.jpg.296x216.jpg', '长白华润幸福里样板间装修三室 南昌', '华润幸福里  | 3室2厅 | 119.33平米 | 南 北 | 其他', '高楼层(共32层)2014年建板楼  -  和平区', '265万', '单价22208元/平米')
('https://image1.ljcdn.com/210100-inspection/b7ef74fc-78d6-4cff-abb8-e1206b420caf.jpg.296x216.jpg', '长白岛 中海国际社区五期 南北通透 三室两厅 精装修', '中海国际社区五期  | 3室2厅 | 134.1平米 | 南 北 | 精装', '低楼层(共29层)2015年建板楼  -  和平区', '268万', '单价19986元/平米')
('https://image1.ljcdn.com/210100-inspection/dae91fd6-ee5c-46f9-8e09-ca41a59feec6.JPG.296x216.jpg', '华润悦府127平，南北3室，带车位，保持好，家居全送', '华润悦府  | 3室2厅 | 127平米 | 南 北 | 精装', '低楼层(共33层)2013年建板楼  -  和平区', '390万', '单价30709元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload42504e45-a2ea-4068-a9a4-39ca6a0ae8e9.JPG.296x216.jpg', '世茂五里河  中间楼层 三室 带装修 南北通透', '世茂新五里河  | 3室2厅 | 162.24平米 | 南 北 | 精装', '低楼层(共58层)2016年建板楼  -  和平区', '260万', '单价16026元/平米')
('https://image1.ljcdn.com/210100-inspection/0dc67535-57dd-4056-9f55-4965be0b8203.jpg.296x216.jpg', '长白岛 中海国际社区一期 精装南向两居室', '中海国际社区一期  | 2室2厅 | 91.27平米 | 南 | 精装', '中楼层(共33层)2009年建板楼  -  和平区', '150万', '单价16435元/平米')
('https://image1.ljcdn.com/210100-inspection/d1654019-5bc9-4a29-81a5-49b01e8ac7ba.jpg.296x216.jpg', '越秀星汇蓝海 南北通透 两室两厅', '越秀星汇蓝海  | 2室2厅 | 83.26平米 | 南 北 | 其他', '中楼层(共33层)2016年建板楼  -  和平区', '125万', '单价15014元/平米')
('https://image1.ljcdn.com/210100-inspection/04737330-9bc2-41fc-9678-0c5ae3127941.jpg.296x216.jpg', '市图书馆 五里河城 南向精装一室 无遮挡 采光充足', '五里河城  | 1室1厅 | 62.01平米 | 南 | 精装', '高楼层(共24层)2006年建板楼  -  和平区', '55万', '单价8870元/平米')
('https://image1.ljcdn.com/210100-inspection/b952354e-9c86-4800-92e6-3da7d9018fe9.jpg.296x216.jpg', '长白龙湖唐宁ONE 精装修三室 全天采光 视野宽阔', '龙湖唐宁ONE  | 3室2厅 | 107.26平米 | 南 北 | 其他', '高楼层(共34层)2016年建板楼  -  和平区', '180万', '单价16782元/平米')
('https://image1.ljcdn.com/210100-inspection/705e4ee6-2051-4cf1-bc81-db618620317a.jpg.296x216.jpg', '长白岛 格林观堂三室 采光充足 看房方便 南京一南昌', '格林观堂二期  | 3室2厅 | 115平米 | 南 北 | 毛坯', '低楼层(共24层)2012年建板楼  -  和平区', '178万', '单价15479元/平米')
('https://image1.ljcdn.com/210100-inspection/67f0e1c2-9593-4e01-a08d-8d968194ca9b.jpg.296x216.jpg', '长白 龙湖唐宁one  两室 南北通透', '龙湖唐宁ONE  | 2室2厅 | 92.55平米 | 南 北 | 其他', '高楼层(共34层)2018年建板楼  -  和平区', '141万', '单价15236元/平米')
('https://image1.ljcdn.com/210100-inspection/d4988c7d-cb12-4010-b453-35206c246a10.JPG.296x216.jpg', '世茂五里河 性价1比高 低楼层 交通便利 房主急卖', '世茂新五里河  | 4室2厅 | 242平米 | 南 北 | 毛坯', '低楼层(共56层)2016年建板楼  -  和平区', '261万', '单价10786元/平米')
('https://image1.ljcdn.com/210100-inspection/f4cbee07-10d1-4d08-b6a8-82a8ef7bdba2.jpg.296x216.jpg', '长白 新加坡城 南北通透 三室两卫 精装修 采光好', '新加坡城  | 3室2厅 | 134.72平米 | 南 北 | 精装', '低楼层(共12层)2012年建板楼  -  和平区', '198万', '单价14698元/平米')
