('https://image1.ljcdn.com/210100-inspection/b0b07c26-f931-4099-9816-cd34f1dc3853.jpg.296x216.jpg', '大东 大华水岸 精装三室 装修好 拎包入住', '大华水岸府邸  | 3室2厅 | 134.8平米 | 南 北 | 其他', '中楼层(共18层)2006年建板楼  -  大东区', '144万', '单价10683元/平米')
('https://image1.ljcdn.com/210100-inspection/9e3be74d-864e-4c17-ab87-23e6e49547db.jpg.296x216.jpg', '大东 八王寺 万科金色家园  跃层 南北通透 采光好', '万科金色家园  | 5室3厅 | 242平米 | 南 北 | 精装', '中楼层(共18层)2005年建板楼  -  大东区', '315万', '单价13017元/平米')
('https://image1.ljcdn.com/210100-inspection/d11a8d65-20aa-44cc-a66f-4ed06f591d13.JPG.296x216.jpg', '大东筑景东方中高楼层采光良好装修保持良好拎包入住！', '筑景东方  | 2室2厅 | 97平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  大东区', '65万', '单价6702元/平米')
('https://image1.ljcdn.com/210100-inspection/f9b8f145-3ef7-4c4f-a4d4-6d58b409fb03.jpg.296x216.jpg', '房子是花园式封闭小区，户型南北通透，格局方正', '东远国际花园  | 2室2厅 | 92平米 | 南 北 | 精装', '高楼层(共34层)板楼  -  大东区', '128万', '单价13914元/平米')
('https://image1.ljcdn.com/210100-inspection/6acb20e5-ff09-4c65-8344-eade0041cbe3.jpg.296x216.jpg', '八王寺 瑞士家园 位置好 中间楼层', '瑞士家园  | 3室2厅 | 168.37平米 | 南 北 | 简装', '中楼层(共7层)2001年建板楼  -  大东区', '136万', '单价8078元/平米')
('https://image1.ljcdn.com/210100-inspection/test-ea6a819b-006a-4727-bd65-1f19629a6f59.png.296x216.jpg', '香檀1917 诚心出售 交通便利 商圈成熟', '香檀1917  | 2室1厅 | 78.79平米 | 东北 | 精装', '高楼层(共35层)2008年建板楼  -  大东区', '76万', '单价9646元/平米')
('https://image1.ljcdn.com/210100-inspection/08a4b4ac-587e-4251-a54d-0f823de11e54.JPG.296x216.jpg', '大东 康都 采光充足 视野开阔 无遮挡', '康都  | 2室1厅 | 59.59平米 | 南 | 精装', '高楼层(共7层)2001年建板楼  -  大东区', '36万', '单价6042元/平米')
('https://image1.ljcdn.com/210100-inspection/24070f74-a368-48e8-a3a6-cf8769a5424d.jpg.296x216.jpg', '大东区 梧桐园 装修保持好 拎包入住', '梧桐园  | 2室1厅 | 50.96平米 | 南 北 | 精装', '中楼层(共7层)2002年建板楼  -  大东区', '37万', '单价7261元/平米')
('https://image1.ljcdn.com/210100-inspection/0ee6350c-dda0-46fa-89d0-7beaaffab655.JPG.296x216.jpg', '新上 香檀南向两室 中间楼层 不挡光', '香檀1917  | 2室2厅 | 93.44平米 | 南 | 简装', '低楼层(共35层)2008年建板楼  -  大东区', '93万', '单价9953元/平米')
('https://image1.ljcdn.com/210100-inspection/b27bbda9-ba06-4c8d-a16d-6c08bedaf0d2.JPG.296x216.jpg', '大东  新华壹品  南北通透  中等楼层 拎包入住', '新华壹品A区  | 2室2厅 | 114平米 | 南 北 | 精装', '中楼层(共10层)2006年建板楼  -  大东区', '95万', '单价8334元/平米')
('https://image1.ljcdn.com/210100-inspection/d3044a82-5eb8-49bc-8ae1-443ffb199cdb.jpg.296x216.jpg', '大东区 如意家园 南北通透 交通方便', '如意家园  | 3室2厅 | 108平米 | 南 北 | 简装', '高楼层(共7层)2003年建板楼  -  大东区', '88万', '单价8149元/平米')
('https://image1.ljcdn.com/210100-inspection/9f3b47c0-cf91-43ef-a96c-60e21a10d437.JPG.296x216.jpg', '大东 水印蓝庭 低楼层 两室两厅', '水印蓝庭  | 2室2厅 | 91.31平米 | 南 北 | 简装', '低楼层(共6层)暂无数据  -  大东区', '72万', '单价7886元/平米')
('https://image1.ljcdn.com/210100-inspection/9a929084-6b17-4823-8476-c8f0e022c70a.jpg.296x216.jpg', '北站万科 南北通透满五年 两南卧 两北卧 中间楼层', '万科金色家园  | 4室2厅 | 214.87平米 | 南 北 | 精装', '低楼层(共18层)2005年建板楼  -  大东区', '259万', '单价12054元/平米')
('https://image1.ljcdn.com/210100-inspection/2f18d061-3212-404d-b7e7-61280f6ba5c3.JPG.296x216.jpg', '大东新华壹品中高楼层无遮挡采光好装修保持好拎包入住', '新华壹品A区  | 2室2厅 | 91.9平米 | 南 北 | 其他', '中楼层(共5层)2006年建板楼  -  大东区', '100万', '单价10882元/平米')
('https://image1.ljcdn.com/210100-inspection/ec16850a-e4b4-447e-8bd8-8e9c0a230ca1.jpg.296x216.jpg', '大东 瑞家坚果 无遮挡 采光好', '瑞家坚果  | 3室1厅 | 77.29平米 | 西南 | 精装', '高楼层(共33层)2014年建板楼  -  大东区', '96万', '单价12421元/平米')
('https://image1.ljcdn.com/210100-inspection/c71b6eb2-e49b-4d54-bcb1-bf715ec18e25.JPG.296x216.jpg', '大东康都中高楼层不挡光装修保持好拎包入住', '康都  | 2室2厅 | 73.45平米 | 南 北 | 精装', '高楼层(共6层)2001年建板楼  -  大东区', '47万', '单价6399元/平米')
('https://image1.ljcdn.com/210100-inspection/4a05456b-3e89-4053-8f81-912e344fea47.JPG.296x216.jpg', '龙之梦 楼层好 不挡光 户型好 交通方便', '龙之梦畅园  | 2室1厅 | 90平米 | 南 北 | 精装', '中楼层(共42层)板楼  -  大东区', '110万', '单价12223元/平米')
('https://image1.ljcdn.com/210100-inspection/4f857f45-946f-4922-a3b6-c43d23c1e21f.JPG.296x216.jpg', '大东 圣淘沙家园 南北两室 不把山不临街 拎包入住', '圣淘沙家园  | 2室2厅 | 85.76平米 | 南 北 | 精装', '高楼层(共7层)2004年建板楼  -  大东区', '59万', '单价6880元/平米')
('https://image1.ljcdn.com/210100-inspection/90bc55c6-5c57-4c5b-bb85-6109727bef82.jpg.296x216.jpg', '德增小区 两室两厅一卫 位置好', '德增小区  | 2室2厅 | 112平米 | 南 北 | 简装', '低楼层(共8层)1998年建板楼  -  大东区', '85万', '单价7590元/平米')
('https://image1.ljcdn.com/210100-inspection/67727bed-f574-4c9e-91d8-b56059ca71b7.JPG.296x216.jpg', '大东 东站 金地铂悦 电梯洋房 装修好 拎包即住 不把山', '金地铂悦  | 3室2厅 | 132.6平米 | 南 北 | 精装', '高楼层(共5层)暂无数据  -  大东区', '245万', '单价18477元/平米')
('https://image1.ljcdn.com/210100-inspection/9a0cf303-44d1-42a6-8afa-d009592d9d51.JPG.296x216.jpg', '甘泉路 天后宫路小区 南向一室小户型 高楼层采光好', '天后宫路125号  | 1室1厅 | 38.96平米 | 南 | 简装', '高楼层(共9层)暂无数据  -  大东区', '25万', '单价6417元/平米')
('https://image1.ljcdn.com/210100-inspection/45f9c644-634f-4ef2-a579-b99c16578c2b.JPG.296x216.jpg', '此房大东万恒愿景，采光充足，视野开阔，可拎包入住。', '万恒愿景  | 2室1厅 | 60平米 | 西北 | 精装', '中楼层(共25层)板楼  -  大东区', '45万', '单价7500元/平米')
