('https://image1.ljcdn.com/210100-inspection/65ec54f2-3154-44dd-93c3-ebdb1517d5e8.jpg.296x216.jpg', '人杰水岸一期多层 精装修 业主自住婚装', '中铁人杰水岸一期  | 3室2厅 | 81.53平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  沈北新区', '75万', '单价9200元/平米')
('https://image1.ljcdn.com/210100-inspection/cd05f011-d5c9-4953-b4d0-82ac2ddade9c.jpg.296x216.jpg', '雅居乐 精装修 现房 满二  河景房', '沈阳雅居乐花园C地块  | 2室2厅 | 93.4平米 | 南 | 精装', '低楼层(共32层)暂无数据  -  沈北新区', '75万', '单价8030元/平米')
('https://image1.ljcdn.com/210100-inspection/2c344842-1e6b-4517-88ae-9eef51f1bcd3.jpg.296x216.jpg', '沈北新区 中铁人杰水岸 精装修多层  舒适度高', '人杰水岸二期  | 2室1厅 | 76.99平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  沈北新区', '70万', '单价9093元/平米')
('https://image1.ljcdn.com/210100-inspection/6dc8871d-ced0-4543-9193-462645d10f1e.jpg.296x216.jpg', '人杰水岸二期 3室2厅 98万', '人杰水岸二期  | 3室2厅 | 102.26平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '98万', '单价9584元/平米')
('https://image1.ljcdn.com/210100-inspection/7ce96c3c-8176-47ca-a21d-44b312aca737.jpg.296x216.jpg', '三盛颐景蓝湾 2室1厅 49万', '三盛颐景蓝湾  | 2室1厅 | 78.86平米 | 南 | 精装', '低楼层(共32层)暂无数据  -  沈北新区', '49万', '单价6214元/平米')
('https://image1.ljcdn.com/210100-inspection/d3223cc7-5d82-417e-9d50-1fddaad55bf0.jpg.296x216.jpg', '沈阳雅居乐花园，南北标户，精装洋房，拎包即住！', '沈阳雅居乐花园C地块  | 3室2厅 | 142.2平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  沈北新区', '145万', '单价10197元/平米')
('https://image1.ljcdn.com/210100-inspection/4587a886-1464-4f34-9c34-2792b8016144.jpg.296x216.jpg', '中铁人杰价格可议一室南向精装修送家具家电无大税', '人杰水岸二期  | 1室0厅 | 48.09平米 | 南 | 其他', '低楼层(共26层)板楼  -  沈北新区', '38万', '单价7902元/平米')
('https://image1.ljcdn.com/210100-inspection/c44ddae3-648e-435d-b253-f660e86b2e28.jpg.296x216.jpg', '人杰水岸二期 3室1厅 102万', '人杰水岸二期  | 3室1厅 | 101.47平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '102万', '单价10053元/平米')
('https://image1.ljcdn.com/210100-inspection/d4752441-ffb5-4d20-9db8-d9063fcb08a5.jpg.296x216.jpg', '雷明锦程 1室1厅 33万', '雷明锦程  | 1室1厅 | 39.93平米 | 东北 | 其他', '高楼层(共29层)暂无数据  -  沈北新区', '33万', '单价8265元/平米')
('https://image1.ljcdn.com/210100-inspection/58db3f9b-e37c-44f4-90f1-b58b2ed7cf98.jpg.296x216.jpg', '沈阳雅居乐花园C地块 3室2厅 76万', '沈阳雅居乐花园C地块  | 3室2厅 | 93.4平米 | 南 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '76万', '单价8138元/平米')
('https://image1.ljcdn.com/210100-inspection/0b43f61c-baec-4714-9e14-788fff693c07.jpg.296x216.jpg', '皇家御院 2室1厅 33万', '皇家御院  | 2室1厅 | 55.48平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  沈北新区', '33万', '单价5949元/平米')
('https://image1.ljcdn.com/210100-inspection/3dd3bf89-4b85-46d3-87bd-dff9c2f66916.jpg.296x216.jpg', '碧桂园太阳城 1室1厅 36万', '碧桂园太阳城  | 1室1厅 | 62.25平米 | 南 | 其他', '高楼层(共32层)暂无数据  -  沈北新区', '36万', '单价5784元/平米')
('https://image1.ljcdn.com/210100-inspection/a547355e-3e4c-43ca-b955-ae80d9b43340.jpg.296x216.jpg', '碧桂园太阳城 南向小户型 采光好 适合居住 园区位置好', '碧桂园太阳城  | 1室1厅 | 62.2平米 | 南 | 其他', '低楼层(共32层)暂无数据  -  沈北新区', '34万', '单价5467元/平米')
('https://image1.ljcdn.com/210100-inspection/34197bbd-fbfd-4843-a6c5-f0eeb6d671de.jpg.296x216.jpg', '中铁人杰水岸一期 3室2厅 98万', '中铁人杰水岸一期  | 3室2厅 | 98.99平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '98万', '单价9900元/平米')
('https://image1.ljcdn.com/210100-inspection/1a31a3fc-f8c5-4927-9986-3576b4ef0726.jpg.296x216.jpg', '华强城 1室1厅 48.5万', '华强城  | 1室1厅 | 53.49平米 | 西 北 | 其他', '中楼层(共31层)板楼  -  沈北新区', '48.5万', '单价9068元/平米')
('https://image1.ljcdn.com/210100-inspection/2b694664-f4fe-4250-9ecb-41c76d69a1f8.jpg.296x216.jpg', '沈北龙湖香醍漫步 别墅园区 精装小高采光好 拎包入住', '龙湖香醍漫步  | 3室2厅 | 142.05平米 | 南 北 | 其他', '高楼层(共8层)暂无数据  -  沈北新区', '120万', '单价8448元/平米')
('https://image1.ljcdn.com/210100-inspection/6a9c076b-1f98-4c8b-ba17-092c1032ed96.jpg.296x216.jpg', '碧桂园太阳城 1室1厅 34万', '碧桂园太阳城  | 1室1厅 | 62.2平米 | 南 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '34万', '单价5467元/平米')
('https://image1.ljcdn.com/210100-inspection/00d1ed58-7f2f-499b-ad16-f10fc613dae0.jpg.296x216.jpg', '荣盛盛京绿洲 2室1厅 49万', '荣盛盛京绿洲  | 2室1厅 | 78.32平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  沈北新区', '49万', '单价6257元/平米')
('https://image1.ljcdn.com/210100-inspection/c9dae891-b38f-4b0b-aca1-8b6ad5822c7e.jpg.296x216.jpg', '中铁梧桐苑 2室2厅 64万', '中铁梧桐苑  | 2室2厅 | 100.45平米 | 南 北 | 其他', '中楼层(共11层)2015年建板楼  -  沈北新区', '64万', '单价6372元/平米')
('https://image1.ljcdn.com/210100-inspection/9a7beb2b-0729-4475-a26e-5e5e1c248d79.jpg.296x216.jpg', '融创唐轩公馆 2室1厅 49万', '融创唐轩公馆  | 2室1厅 | 60.06平米 | 西北 | 其他', '高楼层(共31层)暂无数据  -  沈北新区', '49万', '单价8159元/平米')
('https://image1.ljcdn.com/210100-inspection/92e36737-3f09-4153-b5de-56c540463c5b.jpg.296x216.jpg', '中铁人杰水岸二期 南北通透 采光良好 家具家电赠送', '人杰水岸二期  | 2室1厅 | 77.19平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '71万', '单价9199元/平米')
('https://image1.ljcdn.com/210100-inspection/6f858155-05a8-4512-a01e-5fecea5e3714.jpg.296x216.jpg', '荣盛盛京绿洲 3室2厅 87万', '荣盛盛京绿洲  | 3室2厅 | 132.53平米 | 南 北 | 其他', '中楼层(共11层)2016年建板楼  -  沈北新区', '87万', '单价6565元/平米')
('https://image1.ljcdn.com/210100-inspection/a449a011-e380-4789-a08c-1b34be5e9076.jpg.296x216.jpg', '荣盛盛京绿洲 3室2厅 70万', '荣盛盛京绿洲  | 3室2厅 | 98.06平米 | 南 北 | 其他', '中楼层(共8层)2016年建板楼  -  沈北新区', '70万', '单价7139元/平米')
('https://image1.ljcdn.com/210100-inspection/0e7f6625-be2e-419c-b7e7-7412972ee879.jpg.296x216.jpg', '蒲河路 人杰水岸 三室带阁楼精装修 全明户型 随时看房', '中铁人杰水岸一期  | 3室2厅 | 100.97平米 | 东 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  沈北新区', '98万', '单价9706元/平米')
