('https://image1.ljcdn.com/210100-inspection/91925fd1-4c5c-4156-aa19-5bfdf4ebed4f.JPG.296x216.jpg', '金域蓝湾，小高层精装修，双南双北四室两厅', '万科金域蓝湾  | 4室2厅 | 176.47平米 | 南 北 | 精装', '中楼层(共11层)2009年建板楼  -  浑南新区', '290万', '单价16434元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploade90f5b58-cdca-45a3-948a-7f87be5c8a11.jpg.296x216.jpg', '浑南奥体营盘街SR国际新城二期三室精装修', 'SR国际新城  | 3室2厅 | 122平米 | 东 南 北 | 其他', '高楼层(共30层)2009年建塔楼  -  浑南新区', '113万', '单价9263元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload24e07da7-66fb-4429-bab9-9512308e1578.jpg.296x216.jpg', '浑南 万科新榆公馆 简装复室 看房方便', '万科新榆公馆  | 2室1厅 | 53.54平米 | 西 | 其他', '低楼层(共12层)2008年建板楼  -  浑南新区', '51.6万', '单价9638元/平米')
('https://image1.ljcdn.com/210100-inspection/31c32be2-2d41-4d73-aafe-48645a4c4919.JPG.296x216.jpg', '长青湾高层，河湖双景，中间楼层，采光好，视野好', '金地长青湾  | 4室2厅 | 181平米 | 南 北 | 简装', '中楼层(共17层)2011年建板楼  -  浑南新区', '240万', '单价13260元/平米')
('https://image1.ljcdn.com/210100-inspection/8ba2005f-00e8-425c-ba8f-562239643817.jpg.296x216.jpg', '格林英郡 南北两室 精装修 随时可看', '格林英郡  | 2室2厅 | 81.29平米 | 南 北 | 其他', '高楼层(共33层)2004年建板楼  -  浑南新区', '85万', '单价10457元/平米')
('https://image1.ljcdn.com/210100-inspection/d14d1eb3-f552-4d7b-8dba-9cfa64919440.jpg.296x216.jpg', '房主急售，小石城二期现房，满二唯一，房主急售单价底', '郡原小石城  | 3室2厅 | 93.1平米 | 南 北 | 毛坯', '低楼层(共33层)2018年建板楼  -  浑南新区', '83万', '单价8916元/平米')
('https://image1.ljcdn.com/210100-inspection/29b3fb73-e8a8-4eeb-8844-4d690bfa470a.jpg.296x216.jpg', '荣盛爱家郦都 3室1厅 168万', '荣盛爱家郦都  | 3室1厅 | 136.98平米 | 南 北 | 精装', '中楼层(共14层)2015年建板楼  -  浑南新区', '168万', '单价12265元/平米')
('https://image1.ljcdn.com/210100-inspection/497dc89b-bc62-4a7c-aafe-b5cdcbd8e35b.jpg.296x216.jpg', '首创国际城 精装修3室2厅南北通透 采光充足交通便利', '首创国际城  | 3室2厅 | 120.33平米 | 南 北 | 其他', '中楼层(共34层)2010年建板楼  -  浑南新区', '148万', '单价12300元/平米')
('https://image1.ljcdn.com/210100-inspection/c9636d68-6f15-4c79-9f18-4c3162a4dfc3.jpg.296x216.jpg', '华发精装两室，园区物业好，小区绿化好', '华发首府  | 2室1厅 | 75.12平米 | 东 南 | 其他', '低楼层(共32层)2015年建塔楼  -  浑南新区', '100万', '单价13313元/平米')
('https://image1.ljcdn.com/210100-inspection/465cf1c4-934f-4b48-8b31-ccac707d9d01.jpg.296x216.jpg', '月星 3室2厅 97万', '月星  | 3室2厅 | 98.04平米 | 南 北 | 其他', '高楼层(共17层)板楼  -  浑南新区', '97万', '单价9894元/平米')
('https://image1.ljcdn.com/210100-inspection/f5a19572-8bed-4f08-a2a5-c2d38daa5de0.jpg.296x216.jpg', '名流四期 清水南向一室  看房方便', '名流印象四期  | 1室1厅 | 65.46平米 | 南 | 毛坯', '低楼层(共33层)2012年建板楼  -  浑南新区', '71.8万', '单价10969元/平米')
