('https://image1.ljcdn.com/210100-inspection/18306948-47b5-4f59-b1a6-d24186fd0c6f.jpg.296x216.jpg', '香树湾 3室3厅 110万', '香树湾  | 3室3厅 | 104.41平米 | 南 北 | 精装', '中楼层(共5层)暂无数据  -  皇姑区', '110万', '单价10536元/平米')
('https://image1.ljcdn.com/210100-inspection/72552607-829a-411f-8d65-aeec7c611b35.jpg.296x216.jpg', '恒大雅苑 3室2厅 91万', '恒大雅苑  | 3室2厅 | 116平米 | 南 北 | 精装', '高楼层(共23层)2018年建板楼  -  皇姑区', '91万', '单价7845元/平米')
('https://image1.ljcdn.com/210100-inspection/85156ce2-6512-4b15-b2dc-7f6bcbce0bc8.jpg.296x216.jpg', '丽江苑 2室1厅 74万', '丽江苑  | 2室1厅 | 88.96平米 | 东 南 北 | 其他', '高楼层(共11层)暂无数据  -  皇姑区', '74万', '单价8319元/平米')
('https://image1.ljcdn.com/210100-inspection/495a2feb-8f13-4353-a958-c3219ac95c8a.jpg.296x216.jpg', '保利溪湖林语五期 精装修 两室 婚装 满两年 急售', '保利溪湖林语五期  | 2室2厅 | 74.34平米 | 东南 | 精装', '低楼层(共18层)2018年建板楼  -  皇姑区', '65万', '单价8744元/平米')
('https://image1.ljcdn.com/210100-inspection/15effd9a-49e9-453c-a02a-2bbee60d7dd3.jpg.296x216.jpg', '恒大雅苑 3室2厅 85万', '恒大雅苑  | 3室2厅 | 116.1平米 | 南 北 | 其他', '低楼层(共25层)2018年建板楼  -  皇姑区', '85万', '单价7322元/平米')
('https://image1.ljcdn.com/210100-inspection/0f0a315f-f47c-4df0-8ddb-5748068d221b.jpg.296x216.jpg', '保利溪湖林语五期 2室2厅 75万', '保利溪湖林语五期  | 2室2厅 | 80平米 | 南 北 | 其他', '低楼层(共18层)2018年建板楼  -  皇姑区', '75万', '单价9375元/平米')
('https://image1.ljcdn.com/210100-inspection/cc49f86b-b4af-41db-a497-c702f984b3c7.jpg.296x216.jpg', '皇姑区西南向2室中楼层不把山不临街业主交增值附加税', '保利溪湖林语五期  | 2室1厅 | 80平米 | 西南 | 精装', '中楼层(共18层)暂无数据  -  皇姑区', '72万', '单价9000元/平米')
('https://image1.ljcdn.com/210100-inspection/af2c695e-78b0-496b-a013-d20fd8bdfcf2.jpg.296x216.jpg', '中海寰宇天下天汇A区 2室2厅 133万', '中海寰宇天下天汇A区  | 2室2厅 | 91.69平米 | 东 南 北 | 其他', '高楼层(共33层)2012年建板楼  -  皇姑区', '133万', '单价14506元/平米')
('https://image1.ljcdn.com/210100-inspection/9a434927-5cd2-4636-8f78-5d3632f0ba61.jpg.296x216.jpg', '保利溪湖林语一期 一楼带花园 带地下室 简单装修', '保利溪湖林语一期  | 2室1厅 | 87.17平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  皇姑区', '110万', '单价12620元/平米')
('https://image1.ljcdn.com/210100-inspection/474a8165-38ae-410c-89dc-0d34792b162f.jpg.296x216.jpg', '丽江苑三期,精装小户,中间楼层.', '丽江苑  | 1室1厅 | 45.14平米 | 南 | 精装', '高楼层(共15层)暂无数据  -  皇姑区', '41万', '单价9083元/平米')
('https://image1.ljcdn.com/210100-inspection/a3819a54-685b-4e65-918f-a39b5f963c37.jpg.296x216.jpg', '皇姑区南北通透3室正对小区湖景顶楼楼上有造型顶', '恒大雅苑  | 3室2厅 | 116.59平米 | 南 北 | 精装', '高楼层(共26层)2018年建板楼  -  皇姑区', '86万', '单价7377元/平米')
('https://image1.ljcdn.com/210100-inspection/9690857c-599e-4276-ab64-7d98206b28f6.jpg.296x216.jpg', '保利溪湖林语 一楼带花园 带地下室 精装修 拎包入住', '保利溪湖林语一期  | 2室2厅 | 93平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  皇姑区', '180万', '单价19355元/平米')
('https://image1.ljcdn.com/210100-inspection/43eddfbd-bb4a-42cd-b50f-c398a56b17c7.jpg.296x216.jpg', '保利溪湖林语一期 两室 南北通透', '保利溪湖林语一期  | 2室1厅 | 90.18平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  皇姑区', '82万', '单价9093元/平米')
('https://image1.ljcdn.com/210100-inspection/4276ea54-7feb-4cf9-bc07-6ef091e106bf.jpg.296x216.jpg', '恒大雅苑 精装修 拎包入住 三室一卫 南北', '恒大雅苑  | 3室2厅 | 116.27平米 | 南 北 | 精装', '高楼层(共25层)2018年建板楼  -  皇姑区', '90万', '单价7741元/平米')
('https://image1.ljcdn.com/210100-inspection/25bf41de-65e4-49b7-bcda-985086234726.jpg.296x216.jpg', '加华小城 2室1厅 45万', '加华小城  | 2室1厅 | 78.9平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  皇姑区', '45万', '单价5704元/平米')
('https://image1.ljcdn.com/210100-inspection/4ac3c33d-00b4-4ad5-9fd9-7231152f74b0.jpg.296x216.jpg', '皇姑区 精装两室现房 低价出售', '碧桂园学府壹号  | 2室2厅 | 71.78平米 | 南 | 其他', '高楼层(共29层)2017年建板塔结合  -  皇姑区', '62万', '单价8638元/平米')
('https://image1.ljcdn.com/210100-inspection/6b786e1d-f047-4710-80da-80455f052674.jpg.296x216.jpg', '南北格局，两室精装修，采光充足，满5，视野开阔！！', '利生华园  | 2室2厅 | 70.57平米 | 南 北 | 精装', '高楼层(共6层)暂无数据  -  皇姑区', '46万', '单价6519元/平米')
('https://image1.ljcdn.com/210100-inspection/c9ef983a-9cb6-406c-86c3-bfc85cc82b36.jpg.296x216.jpg', '皇姑区 文大路 保利溪湖林语一期，精装修', '保利溪湖林语一期  | 2室2厅 | 86.9平米 | 南 西 北 | 其他', '中楼层(共6层)板楼  -  皇姑区', '84万', '单价9667元/平米')
('https://image1.ljcdn.com/210100-inspection/a504adcc-7149-430d-bbe0-83ea256a7ec7.jpg.296x216.jpg', '皇姑区 保利溪湖一期 满五年 无大税无欠款 多层4楼', '保利溪湖林语一期  | 1室1厅 | 58.37平米 | 西北 | 其他', '中楼层(共6层)板楼  -  皇姑区', '50万', '单价8567元/平米')
('https://image1.ljcdn.com/210100-inspection/528521a6-1486-4d1e-8a2f-fa1b194e54bd.jpg.296x216.jpg', '中海寰宇天下天颂 3室2厅 193万', '中海寰宇天下天颂  | 3室2厅 | 128.64平米 | 南 北 | 其他', '高楼层(共33层)2014年建板楼  -  皇姑区', '193万', '单价15004元/平米')
('https://image1.ljcdn.com/210100-inspection/9a524b5c-5e44-4cac-b0cf-bb62bbb5113b.JPG.296x216.jpg', '北陵公园旁智能园区三居室泰和龙庭', '泰和龙庭  | 3室2厅 | 123.56平米 | 东南 | 精装', '低楼层(共27层)2016年建板楼  -  皇姑区', '178万', '单价14406元/平米')
('https://image1.ljcdn.com/210100-inspection/b348db01-5068-4520-8a64-4f80779b9959.jpg.296x216.jpg', '万科金域华府 2室2厅 95万', '万科金域华府  | 2室2厅 | 89平米 | 南 北 | 其他', '高楼层(共28层)2016年建板楼  -  皇姑区', '95万', '单价10675元/平米')
('https://image1.ljcdn.com/210100-inspection/2d6cbe78-dea2-4757-89ca-7009a1f384d1.jpg.296x216.jpg', '保利溪湖林语五期 1室1厅 45万', '保利溪湖林语五期  | 1室1厅 | 48.3平米 | 东北 | 其他', '中楼层(共18层)2018年建板楼  -  皇姑区', '45万', '单价9317元/平米')
('https://image1.ljcdn.com/210100-inspection/a4d41b74-6607-48a1-8b9e-16095c4eec7d.jpg.296x216.jpg', '保利溪湖林语   两室南北 满五', '保利溪湖林语一期  | 2室1厅 | 87.28平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  皇姑区', '78万', '单价8937元/平米')
('https://image1.ljcdn.com/210100-inspection/c3ce5a24-fba4-4f20-b093-df4bf023ae08.JPG.296x216.jpg', '保利溪湖林语 两室一楼带花园 满两年无大税', '保利溪湖林语一期  | 2室1厅 | 74.6平米 | 南 | 其他', '低楼层(共6层)板楼  -  皇姑区', '72万', '单价9652元/平米')
('https://image1.ljcdn.com/210100-inspection/0136709e-79b7-4968-93b0-ce88e087c318.jpg.296x216.jpg', '碧桂园学府壹号 2室2厅 62万', '碧桂园学府壹号  | 2室2厅 | 72.16平米 | 南 | 精装', '中楼层(共29层)2017年建板塔结合  -  皇姑区', '62万', '单价8593元/平米')
('https://image1.ljcdn.com/210100-inspection/b9eded2b-c0da-4fba-aa98-5f188e452396.jpg.296x216.jpg', '保利溪湖林语一期 2室1厅 120万', '保利溪湖林语一期  | 2室1厅 | 88.2平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  皇姑区', '120万', '单价13606元/平米')
('https://image1.ljcdn.com/210100-inspection/e1b82c05-7d0c-4921-bc90-cd5e67ffac49.jpg.296x216.jpg', '香树湾 2室2厅 67万', '香树湾  | 2室2厅 | 83平米 | 南 北 | 其他', '高楼层(共4层)暂无数据  -  皇姑区', '67万', '单价8073元/平米')
('https://image1.ljcdn.com/210100-inspection/1b252a57-2ac4-4b9c-8fe5-c4f7e994b883.JPG.296x216.jpg', '中海寰宇天下天朗 2室2厅 130万', '中海寰宇天下天朗  | 2室2厅 | 94平米 | 南 北 | 其他', '低楼层(共18层)2012年建板楼  -  皇姑区', '130万', '单价13830元/平米')
('https://image1.ljcdn.com/210100-inspection/a9000026-7889-44e7-bdca-4c24006b85e3.jpg.296x216.jpg', '富丽阳光 2室2厅 72万', '富丽阳光  | 2室2厅 | 88平米 | 南 | 精装', '低楼层(共18层)板楼  -  皇姑区', '72万', '单价8182元/平米')
('https://image1.ljcdn.com/210100-inspection/3b71185f-6dc5-4caa-bc7e-dfcad206a422.jpg.296x216.jpg', '保利溪湖林语一期 2室2厅 82万', '保利溪湖林语一期  | 2室2厅 | 93平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  皇姑区', '82万', '单价8818元/平米')
('https://image1.ljcdn.com/210100-inspection/9b0f059d-deb6-4088-819e-cde47768244b.jpg.296x216.jpg', '碧桂园学府壹号 2室2厅 64万', '碧桂园学府壹号  | 2室2厅 | 79.26平米 | 南 北 | 其他', '低楼层(共29层)2017年建板塔结合  -  皇姑区', '64万', '单价8075元/平米')
('https://image1.ljcdn.com/210100-inspection/46b2ba84-dffb-4f6c-b812-49e9f0e65630.jpg.296x216.jpg', '万科金域华府 2室2厅 78万', '万科金域华府  | 2室2厅 | 76.6平米 | 西南 | 精装', '低楼层(共32层)2016年建板楼  -  皇姑区', '78万', '单价10183元/平米')
('https://image1.ljcdn.com/210100-inspection/c3bff00d-09d6-4457-a9ae-16c77d1c7e3a.jpg.296x216.jpg', '皇姑区南北通透3室精装修低楼层东边户明厨明卫', '恒大雅苑  | 3室2厅 | 123平米 | 东 南 北 | 精装', '低楼层(共26层)2018年建板楼  -  皇姑区', '97.3万', '单价7911元/平米')
('https://image1.ljcdn.com/210100-inspection/3e069baa-be9f-41b8-acfb-028812a78820.jpg.296x216.jpg', '皇姑区 大开发商碧桂园  南北户型', '碧桂园学府壹号  | 2室2厅 | 76.05平米 | 南 北 | 毛坯', '低楼层(共6层)2017年建板塔结合  -  皇姑区', '85万', '单价11177元/平米')
