('https://image1.ljcdn.com/210100-inspection/d6da7182-f981-48c7-8e63-b7f846b070a4.jpg.296x216.jpg', '华府丹郡 简装南向2室 中间楼层 满五年 单价6500！', '华府丹郡  | 2室2厅 | 74.21平米 | 南 | 简装', '中楼层(共33层)板楼  -  苏家屯区', '50万', '单价6738元/平米')
('https://image1.ljcdn.com/210100-inspection/98646ff3-1320-488a-b1d8-55b988577d96.jpg.296x216.jpg', '恒大名都 3室2厅 95万', '恒大名都  | 3室2厅 | 117.77平米 | 南 北 | 精装', '低楼层(共33层)2012年建板楼  -  苏家屯区', '95万', '单价8067元/平米')
('https://image1.ljcdn.com/210100-inspection/05ada804-4669-4720-8b5c-cf29d0fa5a03.jpg.296x216.jpg', '74.48平急售包税，家具送 买入可直接出租', '华府丹郡  | 2室2厅 | 74.48平米 | 南 | 简装', '高楼层(共33层)板楼  -  苏家屯区', '45万', '单价6042元/平米')
('https://image1.ljcdn.com/210100-inspection/3ba1cb9a-8f7b-4aad-b328-5eb64582b3ce.jpg.296x216.jpg', '华府丹郡南北2室标准户型 清水77瓶60万 体育学院', '华府丹郡  | 2室2厅 | 77.8平米 | 东 南 北 | 毛坯', '高楼层(共33层)板楼  -  苏家屯区', '58万', '单价7456元/平米')
('https://image1.ljcdn.com/210100-inspection/fe115bbd-f575-48ba-b995-297209ce5542.jpg.296x216.jpg', '恒大名都 2室2厅 76万', '恒大名都  | 2室2厅 | 87.8平米 | 南 | 精装', '低楼层(共32层)2012年建板楼  -  苏家屯区', '76万', '单价8657元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload1bf8c718-fd04-4ff3-a0d3-3bc8ca92d130.jpg.296x216.jpg', '恒大名都 4室2厅 160万', '恒大名都  | 4室2厅 | 174.14平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  苏家屯区', '160万', '单价9189元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload9a6a25a7-f856-4cc7-948f-e6fef5b1c95f.jpg.296x216.jpg', '恒大名都三居室 南北通透 精装修 采光好 中间楼层', '恒大名都  | 3室2厅 | 116.19平米 | 南 北 | 其他', '高楼层(共32层)2012年建板楼  -  苏家屯区', '86万', '单价7402元/平米')
('https://image1.ljcdn.com/210100-inspection/f58cbf6c-900c-41f5-ad41-253465cdac1d.jpg.296x216.jpg', '河畔花城 3室2厅 60万', '河畔花城  | 3室2厅 | 96.96平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  苏家屯区', '60万', '单价6189元/平米')
('https://image1.ljcdn.com/210100-inspection/e244ea66-233e-41ac-8c9d-080f41dfa56e.jpg.296x216.jpg', '格林喜鹊花园 2室1厅 37万', '格林喜鹊花园  | 2室1厅 | 62.88平米 | 南 北 | 其他', '低楼层(共30层)2014年建板楼  -  苏家屯区', '37万', '单价5885元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload51e26654-9bd4-43b9-8d2b-0eea72a636cd.jpg.296x216.jpg', '恒大精装两居室 总价低 装修保持好 满两年', '恒大名都  | 2室1厅 | 89.67平米 | 西南 | 精装', '高楼层(共33层)2012年建板楼  -  苏家屯区', '70万', '单价7807元/平米')
('https://image1.ljcdn.com/210100-inspection/be2b1cb9-f418-4717-bacb-e97d642d3dcc.jpg.296x216.jpg', '奥园国际城 3室2厅 90万', '奥园国际城  | 3室2厅 | 129.21平米 | 南 北 | 精装', '低楼层(共33层)塔楼  -  苏家屯区', '90万', '单价6966元/平米')
