('https://image1.ljcdn.com/210100-inspection/63801fa1-218a-4288-aaf2-7fbd0644fe5d.JPG.296x216.jpg', '南风雅苑 3室2厅 102万', '南风雅苑  | 3室2厅 | 119.72平米 | 东 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  铁西区', '102万', '单价8520元/平米')
('https://image1.ljcdn.com/210100-inspection/ffdac29a-f9c6-4c99-aaff-5cb6bfb13b3e.jpg.296x216.jpg', '其仕郡 2室2厅 105万', '其仕郡  | 2室2厅 | 83.63平米 | 西南 北 | 其他', '中楼层(共18层)2009年建板楼  -  铁西区', '105万', '单价12556元/平米')
('https://image1.ljcdn.com/210100-inspection/8edee4f8-5ca2-4a65-80f7-9e7bc86b39ee.jpg.296x216.jpg', '四季嘉园二期，两室带阁楼，清水房。封闭园区', '四季嘉园二期  | 2室1厅 | 70.63平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  铁西区', '58万', '单价8212元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadac9440c9-3cf6-42d8-af0b-1c6baf275921.jpg.296x216.jpg', '精装修，带阁楼 ，园区仅此一户', '其仕郡  | 3室3厅 | 84.5平米 | 西南 | 精装', '高楼层(共24层)2009年建板楼  -  铁西区', '113万', '单价13373元/平米')
('https://image1.ljcdn.com/210100-inspection/b0c8a6ad-d29c-4d36-9564-a60a48e9e423.jpg.296x216.jpg', '鑫丰国际 2室2厅 72万', '鑫丰国际  | 2室2厅 | 72平米 | 南 | 简装', '高楼层(共26层)2007年建板楼  -  铁西区', '72万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/46dc3506-7916-4ce2-8a01-51ad2cc52cd5.jpg.296x216.jpg', '第壹城F组团 两室两厅 交通便利 配套设施齐全', '第一城F组团  | 2室2厅 | 90平米 | 西南 | 简装', '低楼层(共30层)2010年建板塔结合  -  铁西区', '82万', '单价9112元/平米')
('https://image1.ljcdn.com/210100-inspection/2c966ac6-9d34-4ab6-a958-c7df47fcddc2.jpg.296x216.jpg', '茂业百货云华园中间楼层双南向两居室', '云华园  | 2室1厅 | 78.15平米 | 南 | 其他', '高楼层(共12层)2007年建板楼  -  铁西区', '88万', '单价11261元/平米')
('https://image1.ljcdn.com/210100-inspection/1bffd037-6b0c-4cee-b72d-dd2a5a716578.jpg.296x216.jpg', '凌空二街诗波特生活园 小高中间楼层 采光好 不把不临', '诗波特生活园  | 2室2厅 | 108平米 | 南 北 | 简装', '中楼层(共9层)2005年建板楼  -  铁西区', '86万', '单价7963元/平米')
('https://image1.ljcdn.com/210100-inspection/02ce39db-9c1e-416b-9a87-0175e4132fa0.jpg.296x216.jpg', '北一路万达新湖明珠城 南北直通 采光好 不把山', '新湖明珠城  | 2室1厅 | 94.48平米 | 南 北 | 其他', '高楼层(共30层)2010年建板楼  -  铁西区', '128万', '单价13548元/平米')
('https://image1.ljcdn.com/210100-inspection/f887a614-60b2-4aed-b08b-153dcbd08114.jpg.296x216.jpg', '保利心语花园 3室2厅 138.5万', '保利心语花园  | 3室2厅 | 128.78平米 | 南 北 | 精装', '高楼层(共6层)2014年建板楼  -  铁西区', '138.5万', '单价10755元/平米')
('https://image1.ljcdn.com/210100-inspection/test-10d4f875-91df-4833-ad96-2d225af6cb15.png.296x216.jpg', '富云新都东区 2室1厅 68万', '富云新都东区  | 2室1厅 | 65.8平米 | 南 | 其他', '中楼层(共7层)2005年建板楼  -  铁西区', '68万', '单价10335元/平米')
