('https://image1.ljcdn.com/440300-inspection/f5fb9520-a010-4641-819b-0b9bafb940ed.jpg.296x216.jpg', '桃源居三区一栋电梯小户型低总价一房一厅', '桃源居三区  | 1室1厅 | 57.13平米 | 西南 | 其他 | 有电梯', '中楼层(共9层)2003年建塔楼  -  桃源居', '248万', '单价43410元/平米')
('https://image1.ljcdn.com/440300-inspection/test-54f5fb1c-2b7c-4f69-920f-4a88e01cdd81.png.296x216.jpg', '海滨城广场 3室1厅 520万', '海滨城广场  | 3室1厅 | 118.9平米 | 东北 | 其他 | 有电梯', '中楼层(共11层)1999年建板塔结合  -  翻身', '520万', '单价43735元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadcb7fc437-a49b-4514-87eb-b8b720309d7c.jpg.296x216.jpg', '云顶嘉园精装高层两房 采光好 满五年', '黄金大厦  | 2室1厅 | 53.26平米 | 西南 | 其他 | 有电梯', '高楼层(共32层)2011年建塔楼  -  新安', '300万', '单价56328元/平米')
('https://image1.ljcdn.com/440300-inspection/4cab9cba-62fb-40f0-b476-2e8d3d62103b.jpg.296x216.jpg', '宝安实验旁住家舒适大三房，改善型客户必看', '中南花园  | 3室2厅 | 117.36平米 | 东北 | 简装 | 有电梯', '中楼层(共14层)2002年建板塔结合  -  翻身', '650万', '单价55386元/平米')
('https://image1.ljcdn.com/440300-inspection/d2d0eb62-3abd-42b3-8564-42f23a225a1d.jpg.296x216.jpg', '平层5房,3阳台带入户花园，毛坯满2年', '新世界名镌  | 5室2厅 | 215.5平米 | 南 | 其他', '高楼层(共6层)2013年建暂无数据  -  曦城', '1700万', '单价78887元/平米')
('https://image1.ljcdn.com/440300-inspection/b7e1eaa3-2ebd-41ce-959e-886f53743f86.jpg.296x216.jpg', '满五年+税费少+西南向安静看海景+保养好+诚心出售', '招商果岭花园  | 3室2厅 | 81.52平米 | 西南 | 精装 | 有电梯', '中楼层(共34层)2012年建板塔结合  -  西乡', '510万', '单价62562元/平米')
('https://image1.ljcdn.com/440300-inspection/5a1b2e74-5f2f-4538-992f-162d4fa66531.jpg.296x216.jpg', '西乡地铁口大4房  底层带小平台  客厅东南向', '海湾明珠  | 4室1厅 | 106.08平米 | 东南 | 精装 | 无电梯', '低楼层(共8层)2002年建板塔结合  -  西乡', '520万', '单价49020元/平米')
('https://image1.ljcdn.com/440300-inspection/c5940045-67a8-4555-8424-9f0b667985a0.jpg.296x216.jpg', '熙龙湾二期 7室2厅 3400万', '熙龙湾二期  | 7室2厅 | 278.45平米 | 南 | 毛坯 | 有电梯', '低楼层(共30层)2010年建板塔结合  -  宝安中心', '3400万', '单价122105元/平米')
('https://image1.ljcdn.com/440300-inspection/c69a2d74-bc52-475c-873f-b034851e8652.jpg.296x216.jpg', '正规三房  近天虹沃尔玛  业主自住  保养好  拎包入住', '风尚时代  | 3室1厅 | 111.1平米 | 西南 | 简装 | 无电梯', '高楼层(共7层)1996年建塔楼  -  新安', '330万', '单价29703元/平米')
('https://image1.ljcdn.com/440300-inspection/ca171149-03b7-4a5f-8dca-742aaaae59e9.jpg.296x216.jpg', '宝豪华庭 6室2厅 660万', '宝豪华庭  | 6室2厅 | 124.15平米 | 西南 | 其他 | 有电梯', '低楼层(共24层)2005年建板塔结合  -  新安', '660万', '单价53162元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c218dbbb-7729-4892-b5a2-5d4d11e60662.png.296x216.jpg', '大露台通透户型实用三房，安静看花园拎包住。', '中南花园  | 3室2厅 | 107.53平米 | 西南 | 其他 | 有电梯', '低楼层(共14层)2002年建板塔结合  -  翻身', '580万', '单价53939元/平米')
('https://image1.ljcdn.com/440300-inspection/test-74df652e-9232-4157-be7f-044b83d83b67.png.296x216.jpg', '碧海西乡诚心出售2房中间楼层满五唯一干净整洁急急急', '金港华庭  | 2室1厅 | 63.66平米 | 东北 | 其他 | 有电梯', '中楼层(共31层)2009年建板塔结合  -  西乡', '376万', '单价59064元/平米')
('https://image1.ljcdn.com/440300-inspection/5de74ce7-4ee5-412a-83e0-a1749d0f0696.jpg.296x216.jpg', '湖景居大三房，户型方正，楼下地铁口12号线，带宝中', '湖景居  | 3室2厅 | 124.01平米 | 东 | 简装 | 有电梯', '高楼层(共29层)2000年建板塔结合  -  新安', '720万', '单价58060元/平米')
('https://image1.ljcdn.com/440300-inspection/704a1a27-6c62-474a-b0e2-e8086f2e6ac4.jpg.296x216.jpg', '此房满五年，1+1户型，看房有钥匙，随时约我看房。', '桃源居十六区  | 2室1厅 | 69.4平米 | 南 | 简装 | 有电梯', '低楼层(共17层)2009年建板楼  -  桃源居', '350万', '单价50433元/平米')
('https://image1.ljcdn.com/440300-inspection/09d911ef-f327-4ea2-911f-de55fa3a5b2e.jpg.296x216.jpg', '招商果岭高层看海红本三房，业主诚心出售，保养好', '招商果岭花园  | 3室2厅 | 88.25平米 | 西南 东北 | 精装 | 有电梯', '高楼层(共30层)2012年建板塔结合  -  西乡', '560万', '单价63457元/平米')
('https://image1.ljcdn.com/440300-inspection/cce39fd8-fcf8-4f74-bd32-457c81784a95.jpg.296x216.jpg', '[密度1.8 绿化65%] 朝南 厅宽4.5米 厅出阳台 多层板楼', '碧海富通城一期  | 3室1厅 | 112.2平米 | 南 | 精装 | 有电梯', '中楼层(共9层)2007年建板楼  -  碧海', '685万', '单价61052元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d090f578-d4dd-4df5-ad2a-ea98eb758b59.png.296x216.jpg', '青春庭园，满5唯一，红本在手，客厅出阳台看花园', '青春庭园  | 1室1厅 | 40.93平米 | 东北 | 简装 | 无电梯', '低楼层(共6层)2003年建板塔结合  -  西乡', '225万', '单价54972元/平米')
('https://image1.ljcdn.com/440300-inspection/test-46b06e52-6ff2-4b41-a255-b4748b135176.png.296x216.jpg', '宝乐花园正规两房，不临街，看房方便', '宝乐花园  | 2室1厅 | 76.9平米 | 西南 | 其他 | 无电梯', '高楼层(共8层)1994年建塔楼  -  新安', '350万', '单价45514元/平米')
('https://image1.ljcdn.com/440300-inspection/2bcca099-d807-4cec-888d-24ce59fdb1f2.jpg.296x216.jpg', '丽景城南向看花园3居 安静舒适 红本在手 业主诚心出售', '丽景城  | 3室2厅 | 96.78平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)2002年建板塔结合  -  西乡', '520万', '单价53731元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d99c0fa8-0e9e-4402-8b87-a18092ee33f0.png.296x216.jpg', '福中福优质大两房，满五唯一，东南朝向，业主诚心卖', '福中福花园二期  | 2室2厅 | 72平米 | 东南 | 精装 | 无电梯', '高楼层(共7层)2002年建板楼  -  西乡', '380万', '单价52778元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2eb3775d-8a3b-480e-a514-8d08207b9832.png.296x216.jpg', '满五年，高楼层看花园，厅出阳台，通透安静', '合正汇一城  | 3室1厅 | 82.43平米 | 东北 | 精装 | 有电梯', '高楼层(共28层)2011年建板塔结合  -  西乡', '628万', '单价76186元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4f50ef73-2abb-4f4d-80ea-049226cc0a19.png.296x216.jpg', '客厅出阳台，中间楼层看花园，安静舒适', '花样年花郡  | 1室1厅 | 37.32平米 | 西北 | 其他 | 有电梯', '低楼层(共27层)2010年建塔楼  -  宝安中心', '280万', '单价75027元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c352fe41-1b78-4695-8811-d3d1b4591ae2.png.296x216.jpg', '俊景园 3室1厅 420万', '俊景园  | 3室1厅 | 109.94平米 | 北 | 其他 | 有电梯', '中楼层(共23层)2008年建板塔结合  -  西乡', '420万', '单价38203元/平米')
('https://image1.ljcdn.com/440300-inspection/cf1a6b1c-c824-4f3c-95b5-82d22b142d1f.jpg.296x216.jpg', '金叶茗苑 3室2厅 500万', '金叶茗苑  | 3室2厅 | 102.21平米 | 东南 | 精装 | 有电梯', '中楼层(共15层)2002年建板塔结合  -  翻身', '500万', '单价48919元/平米')
('https://image1.ljcdn.com/440300-inspection/97e4b4a1-4fb6-4036-a7b9-2df922c8649c.jpg.296x216.jpg', '房子满五唯一，红本在手，精装东南电梯三房 住家安静', '品尚居  | 3室2厅 | 92.96平米 | 东南 | 精装 | 有电梯', '中楼层(共22层)2011年建塔楼  -  新安', '535万', '单价57552元/平米')
('https://image1.ljcdn.com/440300-inspection/test-06e71f26-4d05-4697-91d5-f4949d401e6e.png.296x216.jpg', '白金假日公寓 2室1厅 285万', '白金假日公寓  | 2室1厅 | 44.03平米 | 西南 | 其他 | 有电梯', '低楼层(共28层)2007年建塔楼  -  西乡', '285万', '单价64729元/平米')
('https://image1.ljcdn.com/440300-inspection/test-fcc39c7e-bc36-4327-9292-a78a71f4d4e2.png.296x216.jpg', '临前海 双地铁口物业 宽敞大三房 方正实用', '景富苑  | 3室2厅 | 111.91平米 | 西南 | 简装 | 有电梯', '低楼层(共12层)2000年建板塔结合  -  翻身', '450万', '单价40211元/平米')
('https://image1.ljcdn.com/440300-inspection/5abb5062-e04d-4d39-aaf0-867a374dc31e.jpg.296x216.jpg', '宝安.实验+带大露台+看花园+自住精装修+看房方便', '中南花园  | 4室1厅 | 102.68平米 | 东北 | 精装 | 有电梯', '低楼层(共15层)2002年建板塔结合  -  翻身', '586万', '单价57071元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b91d57cf-ed05-44b8-8aa3-ae3b41d37b1f.png.296x216.jpg', '一方城旁 满5年 有固定车位 东南看花园 客厅带大阳台', '天悦龙庭二期  | 3室2厅 | 127.52平米 | 东南 | 精装 | 有电梯', '中楼层(共28层)2005年建板塔结合  -  宝安中心', '960万', '单价75283元/平米')
('https://image1.ljcdn.com/440300-inspection/638f4287-2beb-4357-a2a2-fd485b9d5306.jpg.296x216.jpg', '泰华大厦 4室2厅 430万', '泰华大厦  | 4室2厅 | 112.7平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)1996年建板塔结合  -  新安', '430万', '单价38155元/平米')
('https://image1.ljcdn.com/440300-inspection/e63ea48f-44bd-46bd-ae48-1a6579fcaf7d.jpg.296x216.jpg', '宝中前海辐射区  2+1户型   少有出售', '西城上筑花园  | 2室2厅 | 74.64平米 | 东北 | 精装 | 有电梯', '中楼层(共31层)2006年建塔楼  -  宝安中心', '580万', '单价77707元/平米')
('https://image1.ljcdn.com/440300-inspection/test-22758f63-10cb-4b3c-abac-ee35a2734dbc.png.296x216.jpg', '玉湖湾2+1房  精装西南看海看花园', '玉湖湾  | 3室2厅 | 82.46平米 | 西南 | 其他 | 有电梯', '中楼层(共30层)2011年建板塔结合  -  碧海', '540万', '单价65487元/平米')
('https://image1.ljcdn.com/440300-inspection/1bf23785-71c6-417a-aace-a09a8b42fa2e.jpg.296x216.jpg', '碧涛苑4房，一手业主一般装修，看房基本方便', '碧涛苑  | 4室2厅 | 111.4平米 | 西南 | 简装 | 有电梯', '中楼层(共12层)1998年建板塔结合  -  新安', '460万', '单价41293元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6404b004-e503-445c-8d95-c98fd30f0c83.png.296x216.jpg', '大空 港精装修高楼层大一居，满两年税费少', '兴达华府  | 1室1厅 | 31.42平米 | 西北 | 精装 | 有电梯', '高楼层(共29层)2009年建塔楼  -  西乡', '160万', '单价50923元/平米')
