('https://image1.ljcdn.com/440300-inspection/test-27ca7970-81d4-4663-8f34-54cfdb4292a5.png.296x216.jpg', '视野好，满2年，可改小3房业主自住装修保养好', '朗庭豪园  | 2室2厅 | 71.68平米 | 东北 | 精装 | 有电梯', '中楼层(共18层)2000年建塔楼  -  福田保税区', '470万', '单价65570元/平米')
('https://image1.ljcdn.com/440300-inspection/test-17aaa571-6355-4113-8094-6b2da051538e.png.296x216.jpg', '凯旋豪庭客厅房间全南朝向，近莲花山公园，红本在手！', '凯旋豪庭  | 2室1厅 | 66.64平米 | 南 | 简装 | 有电梯', '低楼层(共20层)2007年建板塔结合  -  景田', '470万', '单价70529元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3a9a936d-46d9-40c6-9459-85e2b00de85d.png.296x216.jpg', '日出而作日落而息，万科楼盘望海，等待有缘人', '万科金域蓝湾二期  | 3室2厅 | 109.82平米 | 西南 | 其他 | 有电梯', '高楼层(共34层)2003年建板塔结合  -  上下沙', '830万', '单价75579元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ae5d37eb-eebe-47fe-b4e8-a18593cfefa7.png.296x216.jpg', '高品质简约风格，高层看莲花山，婚房', '城投青莲公寓  | 2室1厅 | 52.13平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2005年建板塔结合  -  莲花', '395万', '单价75773元/平米')
('https://image1.ljcdn.com/440300-inspection/test-48397b36-1c8d-427f-9dbc-6a46f495a494.png.296x216.jpg', '景发花园 三房两厅两卫双阳台  中高层赏香蜜湖美景', '景发花园  | 3室2厅 | 92.69平米 | 西北 | 简装 | 有电梯', '高楼层(共28层)2000年建板塔结合  -  景田', '540万', '单价58259元/平米')
('https://image1.ljcdn.com/440300-inspection/test-eeb98e4a-b768-46f1-9ee9-4ac4f45073a1.png.296x216.jpg', '福田保税区加福广场，精致公寓，看米埔景观', '加福广场华尔登府邸  | 1室1厅 | 42.15平米 | 东南 | 精装 | 有电梯', '低楼层(共28层)2007年建板塔结合  -  福田保税区', '260万', '单价61685元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a28f9de7-53ea-4c83-89d2-0815a329a9d6.png.296x216.jpg', '红本在手，看房随时，业主诚心放卖', '帝港海湾豪园  | 2室2厅 | 64.91平米 | 北 | 精装 | 有电梯', '高楼层(共27层)2003年建塔楼  -  福田保税区', '415万', '单价63935元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4ae92f9f-e33b-4aa9-a796-86631a8f96a7.png.296x216.jpg', '万科金域蓝湾一期 3室2厅 790万', '万科金域蓝湾一期  | 3室2厅 | 91.34平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2003年建塔楼  -  上下沙', '790万', '单价86491元/平米')
('https://image1.ljcdn.com/440300-inspection/test-44844e38-68ce-4385-a5bb-65027f774a67.png.296x216.jpg', '户型方正 通透实用 中间楼层 看房随时', '新活力花园  | 3室2厅 | 99.59平米 | 东 西 | 精装 | 无电梯', '中楼层(共8层)1999年建板塔结合  -  梅林', '550万', '单价55227元/平米')
('https://image1.ljcdn.com/440300-inspection/test-60823a6b-87c6-475b-a6fc-5118fa7b7be3.png.296x216.jpg', '锦林新居原始三房地铁口物业采光好，安静，诚心出售', '锦林新居  | 3室1厅 | 81.53平米 | 西 | 简装 | 无电梯', '高楼层(共6层)1996年建板塔结合  -  梅林', '430万', '单价52742元/平米')
('https://image1.ljcdn.com/440300-inspection/test-003921a1-5a91-4108-af81-27fb14856be7.png.296x216.jpg', '满五年唯一，可改四房 看房方便', '福兴花园  | 3室1厅 | 97.22平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2005年建板塔结合  -  梅林', '600万', '单价61716元/平米')
