('https://image1.ljcdn.com/440300-inspection/test-1a38b4c5-3f36-4255-bcfe-946e703977fe.png.296x216.jpg', '碧水龙庭 三期 中高楼层 南向看花园  2+1户型 有钥匙', '碧水龙庭  | 2室1厅 | 73.31平米 | 西南 | 简装 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  民治', '390万', '单价53199元/平米')
('https://image1.ljcdn.com/440300-inspection/test-594071f9-ad33-4b59-b788-150300f64fa0.png.296x216.jpg', '【只卖一周】曼海宁三房+上塘地铁站+高峰，只要510万', '潜龙曼海宁花园南区  | 3室2厅 | 88.6平米 | 东南 | 简装 | 有电梯', '中楼层(共28层)2011年建塔楼  -  上塘', '510万', '单价57563元/平米')
('https://image1.ljcdn.com/440300-inspection/test-18c4ed97-1a4b-4b46-b899-f191d24e8c50.png.296x216.jpg', '金地鹭湖1号 精装3房 业主急售 静候新主人 随时看房', '金地鹭湖1号  | 4室2厅 | 87.62平米 | 西南 | 精装 | 有电梯', '高楼层(共16层)2016年建板塔结合  -  观澜', '380万', '单价43370元/平米')
('https://image1.ljcdn.com/440300-inspection/test-da07eddb-3b93-4391-8e7c-dc9501b31e23.png.296x216.jpg', '满两年 红本无赎楼 看花园视野舒展 位置安静 价格独笋', '绿景公馆1866南区  | 3室2厅 | 89.31平米 | 东南 | 简装 | 有电梯', '低楼层(共22层)2013年建板楼  -  深圳北站', '610万', '单价68302元/平米')
('https://image1.ljcdn.com/440300-inspection/d159b9e3-1cbd-431f-bc98-00451a543c26.jpg.296x216.jpg', '绿景公馆1866精装三房出售看花园满五唯一', '绿景公馆1866北区  | 3室2厅 | 88.29平米 | 南 北 | 精装 | 有电梯', '高楼层(共29层)2013年建板楼  -  深圳北站', '629万', '单价71243元/平米')
('https://image1.ljcdn.com/440300-inspection/test-58f7127b-549b-4007-a151-bd79b10cf473.png.296x216.jpg', '碧水龙庭2+1房，中间楼层，业主急卖', '碧水龙庭  | 2室1厅 | 72.46平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  民治', '390万', '单价53823元/平米')
('https://image1.ljcdn.com/440300-inspection/a19fbe98-e9fe-41e7-ba15-5077afb1f3d1.jpg.296x216.jpg', '锦绣江南一期 2室2厅 333万', '锦绣江南一期  | 2室2厅 | 74.74平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2003年建板塔结合  -  深圳北站', '333万', '单价44555元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8761fb23-53dd-495f-a67f-5a40add9bddc.png.296x216.jpg', '电梯四房可改五房 南北通透 采光视野佳 位置安静', '锦绣江南三期  | 4室2厅 | 136.16平米 | 南 北 | 简装 | 有电梯', '中楼层(共15层)2005年建板楼  -  深圳北站', '599万', '单价43993元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b80f8300-f47a-43ff-9d98-4027459d9155.png.296x216.jpg', '满五唯一红本在手，业主诚心出售，视野无遮挡采光充足', '莱蒙水榭春天二期  | 3室2厅 | 77.1平米 | 西 | 精装 | 有电梯', '高楼层(共33层)2010年建塔楼  -  深圳北站', '588万', '单价76265元/平米')
('https://image1.ljcdn.com/440300-inspection/test-45320994-5a54-44f4-90a5-d997c14dfd3d.png.296x216.jpg', '房子满5年，税费少，户型方正，带装修，通风性好', '万科金域华府  | 3室2厅 | 89.04平米 | 西南 | 精装 | 有电梯', '高楼层(共32层)2010年建板塔结合  -  深圳北站', '680万', '单价76371元/平米')
('https://image1.ljcdn.com/440300-inspection/test-28c7d5b0-26c5-4e20-9f02-c4537bed4729.png.296x216.jpg', '满五年唯一 朝南两房 业主置换诚心出售 看房方便', '金地梅陇镇一期  | 2室2厅 | 71.31平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2006年建板楼  -  深圳北站', '400万', '单价56094元/平米')
