('https://image1.ljcdn.com/120000-inspection/96beb4cd-34f3-4d7e-986b-e5ec08f711ee.jpg.296x216.jpg', '东惠家园 东向两居室 随时签约 诚意出售', '东惠家园  | 2室1厅 | 60.85平米 | 东 | 简装 | 有电梯', '高楼层(共31层)板楼  -  真理道', '135万', '单价22186元/平米')
('https://image1.ljcdn.com/120000-inspection/45880fcb-2549-4545-8f2f-5e8cb29a099d.jpg.296x216.jpg', '凤岐里 两室一厅  南北向  随时可看 诚意出售', '凤岐里  | 2室1厅 | 59.59平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  万新村', '131万', '单价21984元/平米')
('https://image1.ljcdn.com/120000-inspection/b3f4582d-a06b-4f24-b4d1-429f88c34b7e.jpg.296x216.jpg', '天津站后广场70年私产，大两室，交通便利，配套齐全', '城市之光别馆公寓  | 2室1厅 | 89.15平米 | 南 | 其他 | 有电梯', '中楼层(共26层)板楼  -  春华街', '239万', '单价26809元/平米')
('https://image1.ljcdn.com/120000-inspection/8a93d70c-c230-42fd-9a21-1638219d4bb1.jpg.296x216.jpg', '太阳城绿萱园 3室2厅 375万', '太阳城绿萱园  | 3室2厅 | 140.03平米 | 南 北 | 其他 | 有电梯', '高楼层(共9层)板楼  -  太阳城', '375万', '单价26780元/平米')
('https://image1.ljcdn.com/120000-inspection/194f60fd-dbd0-46f1-a8e3-11c5a12c1ff8.jpg.296x216.jpg', '标准H户型，随时看房，看房有钥', '星河花园  | 2室2厅 | 98.27平米 | 南 | 其他 | 无电梯', '低楼层(共8层)板楼  -  向阳楼', '279万', '单价28392元/平米')
('https://image1.ljcdn.com/120000-inspection/bbbd2b8c-2b73-4a04-9fee-534fa2d76cbf.jpg.296x216.jpg', '津塘路15号  出行方便  业主诚售', '津塘路15号  | 2室1厅 | 77.55平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  大王庄', '190万', '单价24501元/平米')
('https://image1.ljcdn.com/120000-inspection/3630a393-256a-426f-b15e-a2d488a315b5.jpg.296x216.jpg', '福东里 六楼 河东产权 满五年', '福东里  | 2室1厅 | 60.81平米 | 南 | 简装 | 无电梯', '高楼层(共6层)板楼  -  二号桥街', '126万', '单价20721元/平米')
('https://image1.ljcdn.com/120000-inspection/90cf58a7-b074-4cc0-8d11-e8cc0042560b.jpg.296x216.jpg', '福东北里 五楼 阳面一室 三个小阳台户型', '福东北里  | 1室1厅 | 49.01平米 | 南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  二号桥街', '120万', '单价24485元/平米')
('https://image1.ljcdn.com/120000-inspection/077435d2-e313-4703-b8ea-6869f67cbfb8.jpg.296x216.jpg', '可贷款户型方正，房子很合适，诚意出售小区地理位置好', '林枫花园  | 3室2厅 | 131.01平米 | 南 | 简装 | 无电梯', '高楼层(共5层)板楼  -  大王庄', '330万', '单价25189元/平米')
('https://image1.ljcdn.com/120000-inspection/527be91b-0854-4eea-a1d3-767bdbb63788.jpg.296x216.jpg', '滨河新苑 正规三室 南北通透 采光充足', '滨河新苑  | 3室2厅 | 116平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  富民路', '245万', '单价21121元/平米')
('https://image1.ljcdn.com/120000-inspection/4c6f619e-24ad-49e3-bb11-eba90b441944.jpg.296x216.jpg', '惠森花园 2室1厅 305万', '惠森花园  | 2室1厅 | 93.56平米 | 南 | 简装 | 有电梯', '中楼层(共7层)板楼  -  春华街', '305万', '单价32600元/平米')
