('https://image1.ljcdn.com/420100-inspection/test-99411fed-11d8-4853-8687-37731914a036.png.296x216.jpg', '阳逻保利圆梦城 3房2厅1厨2卫 毛坯现房', '保利圆梦城十区  | 3室2厅 | 107.3平米 | 南 北 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '90万', '单价8388元/平米')
('https://image1.ljcdn.com/420100-inspection/test-e63197c9-aa2c-48be-8a7e-c01debe0704e.png.296x216.jpg', '阳逻保利圆梦城 品质小区南北通透三房两厅 中间好楼层', '保利圆梦城十区  | 3室2厅 | 114平米 | 南 北 | 毛坯', '高楼层(共24层)暂无数据  -  阳逻', '95万', '单价8334元/平米')
('https://image1.ljcdn.com/420100-inspection/894a73bf-db81-4aa8-b7e4-48510e742463.jpg.296x216.jpg', '阳逻中 央花园城南北通透毛坯大三房，证满后期费用低', '阳光新港中央花园城  | 4室2厅 | 128.05平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  阳逻', '110万', '单价8591元/平米')
('https://image1.ljcdn.com/420100-inspection/test-f0860631-95b3-4a0b-bbb7-301f01556169.png.296x216.jpg', '阳逻香榭花都精装两房，看房方便，南北通透，拎包入住', '香榭花都  | 2室2厅 | 82.47平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '78万', '单价9458元/平米')
('https://image1.ljcdn.com/420100-inspection/test-c8174b9d-9786-4fb2-80e4-5a05927e17f3.png.296x216.jpg', '阳逻保利圆梦城四居室南北通透有钥匙随时看房', '保利圆梦城十区  | 4室2厅 | 136平米 | 南 北 | 其他', '低楼层(共24层)暂无数据  -  阳逻', '120万', '单价8824元/平米')
('https://image1.ljcdn.com/420100-inspection/test-0bc42ad2-f5bd-4dd6-a03c-30c86fb45de7.png.296x216.jpg', '保利圆梦城别墅区四房两卫 湖景房 采光好', '保利圆梦城金玉苑  | 4室2厅 | 128.39平米 | 南 北 | 毛坯', '高楼层(共33层)暂无数据  -  阳逻', '120万', '单价9347元/平米')
('https://image1.ljcdn.com/420100-inspection/280099eb-f114-4697-a4f4-22b54fd8116c.jpg.296x216.jpg', '中 央花园城南北通透格局，楼层好户型好业住诚心出售', '阳光新港中央花园城  | 3室2厅 | 123平米 | 南 北 | 其他', '低楼层(共18层)板楼  -  阳逻', '110万', '单价8944元/平米')
('https://image1.ljcdn.com/420100-inspection/04e54049-cdb3-4047-8de7-ae01dc18c4c9.jpg.296x216.jpg', '新洲区阳逻碧水云天毛坯2房 满2年 不 限购 看房方便', '碧水云天  | 2室2厅 | 89.76平米 | 南 | 毛坯', '低楼层(共6层)2011年建板楼  -  阳逻', '52万', '单价5794元/平米')
('https://image1.ljcdn.com/420100-inspection/9180a7ae-9796-410b-8283-6bbd5f76aa0a.jpg.296x216.jpg', '保利圆梦城九区 三房112平 中高楼层 视野开阔', '保利圆梦城九区  | 3室2厅 | 112平米 | 南 北 | 毛坯', '高楼层(共34层)暂无数据  -  阳逻', '105万', '单价9375元/平米')
('https://image1.ljcdn.com/420100-inspection/46cab3f5-1e8d-4d5a-9dd4-fda95c571082.jpg.296x216.jpg', '佳阳国际南北通透格局，好楼层好户型，业主诚心出售。', '佳阳国际  | 3室2厅 | 128.3平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '92万', '单价7171元/平米')
('https://image1.ljcdn.com/420100-inspection/test-fc36aae3-1bb2-4943-9407-dd829aebc8df.png.296x216.jpg', '阳逻保利圆梦城南北通透毛坯三房中高楼层采光好户型正', '保利圆梦城十区  | 3室2厅 | 116.7平米 | 南 北 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '95万', '单价8141元/平米')
('https://image1.ljcdn.com/420100-inspection/test-c728b304-c69e-452c-bf96-55c5617ab38a.png.296x216.jpg', '保利圆梦城南北通透3房，毛坯房采光充足', '保利圆梦城六区  | 3室2厅 | 115.87平米 | 南 北 | 毛坯', '低楼层(共18层)暂无数据  -  阳逻', '102万', '单价8803元/平米')
('https://image1.ljcdn.com/420100-inspection/test-59181f67-0719-49a6-82b0-bc6c44fd2c27.png.296x216.jpg', '阳逻香榭花都100平毛坯两房，中间楼层，视野阔采光好', '香榭花都  | 2室2厅 | 100.2平米 | 南 | 其他', '中楼层(共23层)暂无数据  -  阳逻', '79万', '单价7885元/平米')
('https://image1.ljcdn.com/420100-inspection/test-5010b972-53fe-4046-a26c-9ca3e7695a64.png.296x216.jpg', '保利圆梦城十区三房两卫，南北通透，中高楼层', '保利圆梦城十区  | 3室2厅 | 107平米 | 南 北 | 毛坯', '高楼层(共34层)暂无数据  -  阳逻', '92万', '单价8599元/平米')
('https://image1.ljcdn.com/420100-inspection/033c8a35-d631-4b32-8544-de87bcd16f5a.jpg.296x216.jpg', '阳逻保利圆梦城毛坯三居室，南北通透，视野开阔采光足', '保利圆梦城六区  | 3室2厅 | 105.5平米 | 南 北 | 其他', '高楼层(共33层)暂无数据  -  阳逻', '92万', '单价8721元/平米')
('https://image1.ljcdn.com/420100-inspection/7d78016e-bae0-4fbe-a919-fcc69e7fe13c.jpg.296x216.jpg', '保利圆梦城南北通透4房，毛坯房采光充足', '保利圆梦城六区  | 4室2厅 | 130平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  阳逻', '113万', '单价8693元/平米')
('https://image1.ljcdn.com/420100-inspection/test-74be1038-920d-41c2-86cc-eb82541c99c7.png.296x216.jpg', '阳光新港中 央花园城：3房2厅精装复式 证满2', '阳光新港中央花园城  | 3室2厅 | 93平米 | 南 北 | 其他', '高楼层(共12层)暂无数据  -  阳逻', '108万', '单价11613元/平米')
('https://image1.ljcdn.com/420100-inspection/test-00687820-e815-42e3-b255-f5418169cb48.png.296x216.jpg', '新澳城市印象好户型，好楼层，明厨明卫，采光充足！', '新澳城市印象  | 3室2厅 | 116.63平米 | 南 北 | 其他 | 有电梯', '中楼层(共28层)2013年建板楼  -  阳逻', '130万', '单价11147元/平米')
('https://image1.ljcdn.com/420100-inspection/667236ab-4355-4175-a1ec-5a2f2d1d7012.jpg.296x216.jpg', '湖滨半岛 精装两房 两证两年 采光好', '欣隆湖滨半岛  | 2室2厅 | 85.47平米 | 南 | 其他', '高楼层(共11层)2012年建板楼  -  阳逻', '78万', '单价9127元/平米')
('', '阳光新港中央花园城 3室2厅 105万', '阳光新港中央花园城  | 3室2厅 | 110.78平米 | 南 北 | 其他', '中楼层(共26层)2014年建板楼  -  阳逻', '105万', '单价9479元/平米')
('https://image1.ljcdn.com/420100-inspection/test-ef49c01c-e9d5-4398-bd52-a72b72442749.png.296x216.jpg', '阳逻天琴湾精装三房，满五唯一，南北通透，一梯两户', '天琴湾  | 3室2厅 | 122平米 | 南 | 其他', '低楼层(共6层)2009年建板楼  -  阳逻', '102万', '单价8361元/平米')
('https://image1.ljcdn.com/420100-inspection/d1fba6f0-644e-4308-8c8c-f7580b22ce0e.jpg.296x216.jpg', '保利圆梦城南北通透格局，好楼层好户型业主诚心出售。', '保利圆梦城三区  | 3室2厅 | 127平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '108万', '单价8504元/平米')
('https://image1.ljcdn.com/420100-inspection/e65cba35-2cfb-4bad-89da-fddc854bb2e5.jpg.296x216.jpg', '金色水岸 简装大三房  证两年 中高楼层 采光好', '金色水岸  | 3室2厅 | 121.83平米 | 南 北 | 其他', '高楼层(共13层)暂无数据  -  阳逻', '74万', '单价6075元/平米')
('', '阳光新港中央花园城 3室2厅 85万', '阳光新港中央花园城  | 3室2厅 | 87平米 | 南 | 其他', '低楼层(共12层)暂无数据  -  阳逻', '85万', '单价9771元/平米')
('https://image1.ljcdn.com/420100-inspection/0f980172-e60a-4080-92e5-74183f6ccad2.jpg.296x216.jpg', '中 央花园城 大三房 户型方正 随时看房 95万诚心出售', '阳光新港中央花园城  | 3室2厅 | 111.88平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '95万', '单价8492元/平米')
