('https://image1.ljcdn.com/420100-inspection/fa78bc44-7037-49d3-8e08-3107ec929474.JPG.296x216.jpg', '世纪江尚  一线江景  南北通透  采光充足  看房方便', '世纪江尚  | 4室2厅 | 185.43平米 | 南 北 | 其他 | 有电梯', '低楼层(共57层)2016年建板楼  -  前进江汉', '690万', '单价37211元/平米')
('https://image1.ljcdn.com/420100-inspection/test-58035f2c-39ac-4332-8f9b-995ce704f45a.png.296x216.jpg', '万达商圈 看湖楼层 两房带书房 可改三房 房东诚心', '菱角湖万达广场B区  | 3室2厅 | 99.1平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2010年建板楼  -  新华路万达', '245万', '单价24723元/平米')
('https://image1.ljcdn.com/420100-inspection/test-d322a177-2ee8-4238-abab-bbd2bbdf1ea4.png.296x216.jpg', '泛海国际桂海园 经典户型 通透两房 诚心出售 看房方便', '泛海国际桂海园  | 2室2厅 | 89.65平米 | 南 北 | 精装 | 有电梯', '低楼层(共27层)2016年建板楼  -  CBD西北湖', '285万', '单价31791元/平米')
('https://image1.ljcdn.com/420100-inspection/test-1497fb20-8958-4262-bb67-3caef4aa24fb.png.296x216.jpg', '户型方正 ，采光好通透强，单价总价亲民，看房方便', '福星城南区  | 3室2厅 | 95.24平米 | 南 | 其他 | 有电梯', '低楼层(共38层)2013年建板楼  -  长港路', '176万', '单价18480元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a2b5e43f-03cb-4945-b9f6-69184704d609.png.296x216.jpg', '世纪江尚8号楼 通透户型 高区视野好 房子无欠款交易快', '世纪江尚  | 4室2厅 | 189.84平米 | 东 西 | 其他 | 有电梯', '中楼层(共57层)2016年建板楼  -  前进江汉', '710万', '单价37400元/平米')
('https://image1.ljcdn.com/420100-inspection/3460e4ce-c5f4-4467-887c-62d83d93b645.jpg.296x216.jpg', '南航小区 小区中间 自住装修 户型通透 客厅带阳台', '南航小区  | 2室2厅 | 73.54平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  长港路', '123万', '单价16726元/平米')
('https://image1.ljcdn.com/420100-inspection/test-34eebb83-7e02-4908-aede-f2d192122b93.png.296x216.jpg', '《链家优选》阳光花园三房两卫+中间楼层+临长港路地铁', '阳光花园  | 3室2厅 | 105.99平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2002年建塔楼  -  杨汊湖', '183万', '单价17266元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a8436520-2e91-4f1f-afe7-ddca863d7820.png.296x216.jpg', '满五唯一  精装2房 万达广场 范湖地铁站旁 日月华庭', '日月华庭  | 2室2厅 | 103.65平米 | 南 | 其他 | 有电梯', '中楼层(共31层)塔楼  -  新华路万达', '220万', '单价21226元/平米')
('https://image1.ljcdn.com/420100-inspection/test-71ef0ff5-ed30-4d40-aae5-abdf050f0a53.png.296x216.jpg', '美联时光里二期 次新小区 适宜居住', '美联时光里  | 2室1厅 | 62.7平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2016年建板塔结合  -  塔子湖', '143万', '单价22808元/平米')
('https://image1.ljcdn.com/420100-inspection/test-b0d47641-8e50-4ed9-a848-e8e70b18ad19.png.296x216.jpg', '福星华府新上优选房源 精装修 新证 景观楼层 看房方便', '福星华府  | 3室2厅 | 87.6平米 | 西南 | 其他 | 有电梯', '高楼层(共55层)2015年建板楼  -  杨汊湖', '175万', '单价19978元/平米')
('https://image1.ljcdn.com/420100-inspection/1c2b818d-dc46-4444-9054-e90e66ea093d.jpg.296x216.jpg', '长春小区 对口大兴路 证满两年 精装两房 一楼带院子', '长春小区  | 2室1厅 | 87.33平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2002年建板楼  -  长港路', '143万', '单价16375元/平米')
