('', '美林湖花园 2室1厅 126万', '美林湖花园  ', '高楼层(共18层)暂无数据  -  钱桥', '126万', '单价14319元/平米')
('', '水岸花城 4室3厅 131万', '水岸花城  ', '高楼层(共6层)暂无数据  -  钱桥', '131万', '单价14556元/平米')
('', '水岸花城 4室2厅 138万', '水岸花城  ', '高楼层(共6层)暂无数据  -  钱桥', '138万', '单价15334元/平米')
('', '广石家园 5室4厅 136万', '广石家园  ', '高楼层(共6层)暂无数据  -  刘潭', '136万', '单价8293元/平米')
('', '美林湖花园 4室2厅 168万', '美林湖花园  ', '低楼层(共18层)暂无数据  -  钱桥', '168万', '单价14238元/平米')
('', '美林湖花园 3室2厅 155万', '美林湖花园  ', '高楼层(共18层)暂无数据  -  钱桥', '155万', '单价12110元/平米')
('', '绿地世纪城南区 3室2厅 159万', '绿地世纪城南区  ', '未知(共0层)暂无数据  -  堰桥', '159万', '单价14051元/平米')
('', '百乐和园 3室2厅 160万', '百乐和园  ', '低楼层(共33层)板楼  -  钱桥', '160万', '单价15942元/平米')
('', '理想城市花园 3室2厅 185万', '理想城市花园  ', '未知(共0层)暂无数据  -  堰桥', '185万', '单价18138元/平米')
('', '实地玫瑰庄园 2室2厅 92万', '实地玫瑰庄园  ', '低楼层(共31层)塔楼  -  玉祁', '92万', '单价10538元/平米')
('', '百乐和园 3室2厅 226万', '百乐和园  ', '高楼层(共33层)暂无数据  -  钱桥', '226万', '单价17037元/平米')
('', '美林湖花园 3室2厅 145万', '美林湖花园  ', '高楼层(共6层)暂无数据  -  钱桥', '145万', '单价16112元/平米')
('', '水岸雅苑 2室2厅 127万', '水岸雅苑  ', '高楼层(共11层)暂无数据  -  西漳', '127万', '单价14023元/平米')
('', '融创理想城市花园 3室2厅 152万', '融创理想城市花园  ', '中楼层(共18层)暂无数据  -  堰桥', '152万', '单价16893元/平米')
('', '华夏泉绅永利花苑 3室1厅 115万', '华夏泉绅永利花苑  ', '高楼层(共29层)暂无数据  -  刘潭', '115万', '单价11856元/平米')
('', '阳光100国际新城 2室1厅 105万', '阳光100国际新城  ', '低楼层(共9层)暂无数据  -  刘潭', '105万', '单价11414元/平米')
('', '阳光100国际新城 3室2厅 148万', '阳光100国际新城  ', '低楼层(共11层)暂无数据  -  刘潭', '148万', '单价14968元/平米')
('', '【链家真房源】广石家园 2室1厅 精装 附家具家电', '广石家园  ', '高楼层(共6层)暂无数据  -  刘潭', '72万', '单价11848元/平米')
