('https://image1.ljcdn.com/610100-inspection/f45f11cd-1807-4376-bd53-a2e2e5aa712d.jpg.296x216.jpg', '配套齐全，教育医疗交通都很方便 标准两居室', '御锦城V青年  ', '中楼层(共34层)塔楼  -  浐灞', '103万', '单价14110元/平米')
('https://image1.ljcdn.com/610100-inspection/e569609f-af9a-4e64-8b23-a0285dfc43b4.jpg.296x216.jpg', '东方罗马花园 精装修 看房随时', '东方罗马花园  ', '高楼层(共16层)板塔结合  -  浐灞', '100万', '单价19921元/平米')
('https://image1.ljcdn.com/610100-inspection/ae9a9b87-b80e-4d0f-bd57-766e741a55c6.jpg.296x216.jpg', '东方罗马花园 2室1厅 73万', '东方罗马花园  ', '中楼层(共16层)板塔结合  -  浐灞', '73万', '单价22692元/平米')
('https://image1.ljcdn.com/610100-inspection/b0d8f636-de60-4a6b-be10-c01a7590c728.jpg.296x216.jpg', '复试小两居·业主诚心卖，随时可签', '东方罗马花园  ', '低楼层(共10层)板楼  -  浐灞', '76万', '单价21094元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload2ecde839-18c0-43dc-8eb7-d11908995f70.jpg.296x216.jpg', '高科绿水东城 毛坯两室 满三满二', '高科绿水东城  ', '低楼层(共33层)板塔结合  -  浐灞', '110万', '单价12896元/平米')
('https://image1.ljcdn.com/610100-inspection/9f1d4f45-bc4e-4c86-aac8-ae91ab4062b2.jpg.296x216.jpg', '正规的一室一厅，满五满二，房子保持良好', '东方罗马花园  ', '低楼层(共27层)板塔结合  -  浐灞', '57万', '单价13044元/平米')
('https://image1.ljcdn.com/610100-inspection/1b6dabe5-9f1d-4965-a3c3-c6d80e972b59.jpg.296x216.jpg', '精装三室  南北通透 满五不满二 急售', '水岸东方1期  ', '高楼层(共28层)塔楼  -  浐灞', '147万', '单价11952元/平米')
('https://image1.ljcdn.com/610100-inspection/69ab7c86-9bee-4421-a1e2-cd8f9cd86f4c.jpg.296x216.jpg', '满五满二 精装loft 三面采光 交通便利 生活成本低', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '100万', '单价19756元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload8a5c649b-37d6-4aa0-b1a3-53997209fb41.jpg.296x216.jpg', '御锦城萨拉曼卡别墅 满五满二 南北通透，采光不受影响', '御锦城萨拉曼卡  ', '低楼层(共2层)暂无数据  -  浐灞', '1100万', '单价28212元/平米')
('https://image1.ljcdn.com/610100-inspection/b7bb9cc2-6c05-4487-94e3-83c8c66a8bc1.jpg.296x216.jpg', '罗马花园复式两居 地铁口 精装全配 小区环境好', '东方罗马花园  ', '高楼层(共16层)板塔结合  -  浐灞', '82万', '单价19106元/平米')
('https://image1.ljcdn.com/610100-inspection/9ef1105f-f089-4051-847d-e75baf0d1225.jpg.296x216.jpg', '龙湖香醍四室底跃，满五满二，无抵押，急售。', '龙湖香醍国际社区  ', '低楼层(共9层)板楼  -  浐灞', '430万', '单价18576元/平米')
('https://image1.ljcdn.com/610100-inspection/b2f6d4e6-6f27-446b-af39-c1c594580eb7.jpg.296x216.jpg', '满五满二，复式动静隔离，房本在手，诚意出售', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '95万', '单价19077元/平米')
('https://image1.ljcdn.com/610100-inspection/a839334e-c116-4c7e-a01f-dc739dd9927f.jpg.296x216.jpg', '龙湖香醍公寓开间，70年产权住宅，高品质社区', '龙湖香醍国际社区  ', '中楼层(共32层)板楼  -  浐灞', '55万', '单价13614元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_uploade4273ef5-1fd2-41ca-85d6-4440d2ea3bf9.jpg.296x216.jpg', '湿地公园旁浅水湾华岸精装三居室 南北户型  业主诚售', '普华华岸  ', '中楼层(共33层)板楼  -  浐灞', '306万', '单价16907元/平米')
('https://image1.ljcdn.com/610100-inspection/a7f2796b-f11c-4578-9824-6ee28b94a35b.jpg.296x216.jpg', '广泰门地铁口，房子满五满二，户型合理，采光充足，', '东方罗马花园  ', '高楼层(共10层)板楼  -  浐灞', '87万', '单价19978元/平米')
('https://image1.ljcdn.com/610100-inspection/f784f565-cc4b-4001-87c5-8a432de4e559.jpg.296x216.jpg', '沁水新城，精装两居  满五满二  房本在手', '沁水新城  ', '中楼层(共24层)板塔结合  -  浐灞', '130万', '单价14286元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload27616224-0dc5-43ac-8dfc-6bad56908a7e.jpg.296x216.jpg', '龙湖香醍底跃 五居室 毛坯有钥匙', '龙湖香醍国际社区  ', '低楼层(共6层)板塔结合  -  浐灞', '480万', '单价19767元/平米')
('https://image1.ljcdn.com/610100-inspection/0ff63eec-1684-4d45-adcf-6a3f4474e968.jpg.296x216.jpg', '龙湖 花园洋房 上下两层带大花园  南北通透 满五满二', '龙湖香醍国际社区  ', '低楼层(共6层)板楼  -  浐灞', '610万', '单价20272元/平米')
('https://image1.ljcdn.com/610100-inspection/4832222e-544b-4ee8-8f47-7ca8536b0765.jpg.296x216.jpg', '翠屏湾一期精装两室  满五满二  随时可看 靠谱签约', '翠屏湾1期  ', '高楼层(共33层)板塔结合  -  浐灞', '118万', '单价13850元/平米')
('https://image1.ljcdn.com/610100-inspection/257a751b-6c0d-48f0-897e-66e855c1c12c.jpg.296x216.jpg', '香江湾洋房社区 房本在手 带车位', '香江湾  ', '中楼层(共8层)板塔结合  -  浐灞', '240万', '单价18096元/平米')
('https://image1.ljcdn.com/610100-inspection/322283d3-da9a-443a-a324-bbc8eb328a38.jpg.296x216.jpg', '御锦城V青年  一室一厅  简装空房  诚心出售', '御锦城V青年  ', '低楼层(共34层)暂无数据  -  浐灞', '68万', '单价15169元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_uploadb97acafa-5fe3-4cec-9894-38d7338439fb.jpg.296x216.jpg', '沁水新城 大四居 全明户型 南北，看房方便，满五满二', '沁水新城  ', '中楼层(共6层)板楼  -  浐灞', '245万', '单价16427元/平米')
('https://image1.ljcdn.com/610100-inspection/df9f3c33-9d20-4f17-94e0-000dda9d5528.JPG.296x216.jpg', '罗马花园，经典两居动静分离，产证在手，家具家电齐全', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '82万', '单价20439元/平米')
('https://image1.ljcdn.com/610100-inspection/4de27d9d-0714-4d17-8f21-3c84e76116ea.jpg.296x216.jpg', '低楼层 ，生活便利，精装修，采光充足', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '95万', '单价21675元/平米')
('https://image1.ljcdn.com/610100-inspection/d9c0264f-4a9c-448d-9a60-de2b2197c5b4.jpg.296x216.jpg', '满三满二 朝南 采光充足 楼层位置好', '东方罗马花园  ', '低楼层(共27层)板塔结合  -  浐灞', '55万', '单价13900元/平米')
('https://image1.ljcdn.com/610100-inspection/ed076446-57ba-4adb-a6c4-aa8ec54c6454.jpg.296x216.jpg', '华清园三室 南北通透 桃花潭旁 上学方便', '华清园  ', '高楼层(共7层)板塔结合  -  浐灞', '120万', '单价9307元/平米')
('https://image1.ljcdn.com/610100-inspection/d4b64471-2515-44e2-bc08-50a7332bb04c.jpg.296x216.jpg', '罗马花园复式两居，满五满二户型方正随时可看诚意出售', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '90万', '单价19947元/平米')
('https://image1.ljcdn.com/610100-inspection/c336abb0-16af-4a2a-8cd3-3b339b4020ec.jpg.296x216.jpg', '南北通透，简单装修，带家具，户型方正', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '110万', '单价24380元/平米')
