('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload7427d6df-18f2-4c82-b5da-8f3a73e162aa.jpg.296x216.jpg', '海沧建行站，进出岛方便，产权满两年，业主诚意出售', '亚桥花园  | 2室2厅 | 68.78平米 | 东 西 | 简装 | 无电梯', '中楼层(共8层)2002年建板楼  -  海沧生活区', '200万', '单价29079元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploaddec6d108-c65e-4ce1-b6c4-2fa7bb5cffbf.jpg.296x216.jpg', '生活区 南北通透 居家2+1户型 交通方便 满五唯一', '汇利花园  | 3室2厅 | 85.47平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2002年建板楼  -  海沧生活区', '240万', '单价28081元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadef907235-c814-43fe-85e7-58aa5e3ca021.JPG.296x216.jpg', '滨海阳光 进岛首站  正规三房 全明格局 双十 拎包入住', '滨海阳光  | 3室2厅 | 107.35平米 | 东 西 | 精装 | 有电梯', '中楼层(共11层)2000年建板楼  -  滨海社区', '318万', '单价29623元/平米')
('https://image1.ljcdn.com/350200-inspection/08c1a2e7-42b2-4e86-87a4-320232405cbd.JPG.296x216.jpg', '天湖城天湖 3室2厅 378万', '天湖城天湖  | 3室2厅 | 108.34平米 | 东 | 简装 | 有电梯', '中楼层(共26层)2012年建板楼  -  海沧区政府', '378万', '单价34891元/平米')
('https://image1.ljcdn.com/350200-inspection/ecd2f0ef-d3d3-41b2-af10-0ac63f2d86d2.JPG.296x216.jpg', '维多利亚 沿海一排   诚意出售', '海晟维多利亚  | 5室2厅 | 169.64平米 | 东南 南 北 | 精装 | 有电梯', '低楼层(共31层)2010年建塔楼  -  滨海社区', '730万', '单价43033元/平米')
('https://image1.ljcdn.com/350200-inspection/0790e51a-ecc8-46b6-94a0-71f7b24cdf90.jpg.296x216.jpg', '蓝水郡 高层看海景视野好朝南户型 赠送阁楼 产权满二', '未来海岸蓝水郡  | 3室2厅 | 81.69平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2005年建塔楼  -  海沧体育中心', '292万', '单价35745元/平米')
('https://image1.ljcdn.com/350200-inspection/1b6bc025-e3aa-4243-bf43-7ea8ccaae6cd.JPG.296x216.jpg', '万科城一期 3室2厅 320万', '万科城一期  | 3室2厅 | 111平米 | 东南 | 精装 | 有电梯', '低楼层(共42层)2015年建板楼  -  马銮湾', '320万', '单价28829元/平米')
('https://image1.ljcdn.com/350200-inspection/d1e5cc12-2520-4c8f-8874-2cc7e998bd51.JPG.296x216.jpg', '业主新装修 三房 现换房出售 看房有钥匙', '海晟维多利亚  | 3室1厅 | 89.36平米 | 西南 | 精装 | 有电梯', '中楼层(共30层)2010年建塔楼  -  滨海社区', '379万', '单价42413元/平米')
('https://image1.ljcdn.com/350200-inspection/4ba4e624-14f8-4758-951c-89a6e0048540.jpg.296x216.jpg', '海青花园 正规三房 户型方正  南北通透低总价', '海青花园  | 3室1厅 | 85.31平米 | 东南 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  海沧生活区', '218万', '单价25554元/平米')
('https://image1.ljcdn.com/350200-inspection/879942a1-cef7-4655-9432-8fdae046fcd7.JPG.296x216.jpg', '海上明珠家园 3室2厅 320万', '海上明珠家园  | 3室2厅 | 108.69平米 | 西北 | 简装 | 有电梯', '高楼层(共26层)2007年建塔楼  -  滨海社区', '320万', '单价29442元/平米')
('https://image1.ljcdn.com/350200-inspection/db3cde7a-ce4e-41bc-9230-ae9261456517.JPG.296x216.jpg', '海沧生活区 少有的楼中楼 业主诚意诚售', '铭仕花园  | 5室2厅 | 198平米 | 东南 | 简装 | 无电梯', '高楼层(共6层)2002年建板楼  -  海沧生活区', '390万', '单价19697元/平米')
('https://image1.ljcdn.com/350200-inspection/0f741b05-61a8-482f-9b22-bf3b985c465e.JPG.296x216.jpg', '海景奥斯卡 高楼层 可看海景 毛坯', '海景奥斯卡  | 4室2厅 | 176.11平米 | 东南 | 毛坯 | 有电梯', '中楼层(共31层)2007年建塔楼  -  滨海社区', '915万', '单价51957元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload9c441d38-9d0f-4070-b785-f0560e356b27.JPG.296x216.jpg', '海投天源经典4房，湖海双景尽收眼底', '天源  | 4室1厅 | 141.67平米 | 东南 | 毛坯 | 有电梯', '低楼层(共33层)2015年建板楼  -  海沧体育中心', '650万', '单价45882元/平米')
('https://image1.ljcdn.com/350200-inspection/fdbb35a5-1bc9-469a-9bb6-807cda9d766c.jpg.296x216.jpg', '旭日海湾三期 4室2厅 388万', '旭日海湾三期  | 4室2厅 | 143.98平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2004年建板楼  -  滨海社区', '388万', '单价26949元/平米')
('https://image1.ljcdn.com/350200-inspection/29f48e29-1ca7-4b96-89b8-b7e9e76bd33f.JPG.296x216.jpg', '海景奥斯卡5房大平层的海景房毛坯通透送车位', '海景奥斯卡  | 5室2厅 | 203.18平米 | 东南 | 毛坯 | 有电梯', '中楼层(共31层)2007年建塔楼  -  滨海社区', '1050万', '单价51679元/平米')
('https://image1.ljcdn.com/350200-inspection/4d44ed9a-9324-442e-a0cb-0ed297abef78.JPG.296x216.jpg', '海晟维多利亚 4室2厅 540万', '海晟维多利亚  | 4室2厅 | 132.17平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2010年建塔楼  -  滨海社区', '540万', '单价40857元/平米')
('https://image1.ljcdn.com/350200-inspection/df301db9-a8a7-4cb4-bbf2-17e3c196bf64.jpg.296x216.jpg', '此房产权满两年，主卧和客厅都可以看海，采光无遮挡。', '海晟维多利亚  | 5室2厅 | 170.37平米 | 东南 | 简装 | 有电梯', '中楼层(共31层)2010年建塔楼  -  滨海社区', '670万', '单价39327元/平米')
('https://image1.ljcdn.com/350200-inspection/28106ec9-b4e3-424c-aeaf-3beedab62e67.jpg.296x216.jpg', '禹洲华侨金海岸 4室2厅 435万', '禹洲华侨金海岸  | 4室2厅 | 120.33平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2008年建板塔结合  -  海沧体育中心', '435万', '单价36151元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadf7adeefb-5500-430e-a8ef-a93e0723a172.JPG.296x216.jpg', '泉舜滨海上城满五年业主自住精装修，通透户型', '泉舜滨海上城  | 3室2厅 | 138.65平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2009年建塔楼  -  滨海社区', '620万', '单价44717元/平米')
('https://image1.ljcdn.com/350200-inspection/70035ac4-9769-4b85-8603-4dfd56760e30.jpg.296x216.jpg', '新上湖海双景 产权满二，东南户型 居家温馨装修入住', '天源  | 3室2厅 | 116.59平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2015年建板楼  -  海沧体育中心', '520万', '单价44601元/平米')
