('https://image1.ljcdn.com/370600-inspection/ba3c41fc-3f6e-4575-892d-40563f8be3e2.jpg.296x216.jpg', '福莱山公园方正两居室婚房拎包入住有地上车位', '海信慧园西区  | 2室2厅 | 92平米 | 南 | 其他', '低楼层(共32层)2010年建板塔结合  -  高级中学', '135万', '单价14674元/平米')
('https://image1.ljcdn.com/370600-inspection/507350a3-e7a1-49ad-b251-fd5da5a78c84.jpg.296x216.jpg', '银河怡海国奥天地+精装修+满五唯一+好楼层！', '银和怡海国奥天地  | 4室2厅 | 202.44平米 | 南 北 | 精装', '低楼层(共18层)2016年建板楼  -  黄河路', '300万', '单价14820元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload9ce9d61d-a76d-45ce-a7b1-fee95aa8bd58.jpg.296x216.jpg', '华电小区新上优质顶加阁129+45平，阁楼使用面积大!', '华电小区  | 4室3厅 | 129.06平米 | 南 北 | 简装', '高楼层(共6层)2001年建板楼  -  德胜', '146万', '单价11313元/平米')
('https://image1.ljcdn.com/370600-inspection/9a2cf4db-70ea-4008-9198-a31f8a7cb2a7.jpg.296x216.jpg', '长江路北夹河以西 金东世纪 南北通透 四室两卫 毛坯', '金东世纪A  | 4室2厅 | 165平米 | 南 西 北 | 其他', '中楼层(共30层)2001年建板塔结合  -  德胜', '130万', '单价7879元/平米')
('https://image1.ljcdn.com/370600-inspection/0175a7ad-3e7f-4eea-929f-bee50aea9d58.jpg.296x216.jpg', '天和静海苑精装修南北通透两居室海景房！', '天和静海苑  | 2室1厅 | 93.27平米 | 南 北 | 其他', '高楼层(共28层)2010年建板楼  -  黄河路', '130万', '单价13939元/平米')
('https://image1.ljcdn.com/370600-inspection/849af316-0258-4f09-8b06-f09658294dae.jpg.296x216.jpg', '金桥澎湖湾 三室两厅 南北通透配套齐全', '金桥澎湖湾  | 3室2厅 | 134.87平米 | 南 北 | 其他', '低楼层(共18层)2015年建塔楼  -  北京中路', '138万', '单价10233元/平米')
('https://image1.ljcdn.com/370600-inspection/246d2c22-f6d0-4ced-b1c1-4fbe69aa7820.jpg.296x216.jpg', '海信西区南北通透精装三居室不临街不靠道', '海信慧园西区  | 3室2厅 | 107.17平米 | 南 北 | 其他', '低楼层(共24层)2010年建板塔结合  -  高级中学', '140万', '单价13064元/平米')
('https://image1.ljcdn.com/370600-inspection/test-41dda991-732b-4e10-a19f-bbc2dadfedc4.png.296x216.jpg', '多层框架两居室，全明户型打头房，南北通透采光好', '静海小区  | 2室2厅 | 83.52平米 | 南 北 | 其他', '中楼层(共5层)2003年建板楼  -  黄河路', '105万', '单价12572元/平米')
('https://image1.ljcdn.com/370600-inspection/c64b948f-8aff-4649-980c-ef71a2587023.jpg.296x216.jpg', '凤台小区 房子满五唯一，南北通透，双南卧南客厅', '凤台小区  | 3室2厅 | 114.22平米 | 南 北 | 其他', '低楼层(共6层)1999年建板楼  -  星颐广场', '130万', '单价11382元/平米')
('https://image1.ljcdn.com/370600-inspection/f5764f62-14f4-47a1-88bc-4d3726f7f524.jpg.296x216.jpg', '碧海云天 三居室 精装修 满五唯一 看房方便', '碧海云天  | 3室2厅 | 166.61平米 | 南 北 | 精装', '低楼层(共12层)2006年建板楼  -  星颐广场', '248万', '单价14886元/平米')
('https://image1.ljcdn.com/370600-inspection/a4affc16-5dee-4492-ae64-b56cdf26ab5e.jpg.296x216.jpg', '便宜了便宜了丹阳小区 框架大三室 双南卧西打头客厅', '丹阳小区  | 3室2厅 | 90.4平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  德胜', '98万', '单价10841元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadea5b6b19-1c2b-462f-897d-aab8f37fb8a1.jpg.296x216.jpg', '银河怡海花园，三居室纯毛坯，好楼层', '银和怡海花园  | 3室2厅 | 100.85平米 | 南 北 | 毛坯', '中楼层(共6层)2002年建板楼  -  德胜', '152万', '单价15072元/平米')
('https://image1.ljcdn.com/370600-inspection/4f9d3d98-dc0e-4984-a9a4-dc0c019e588a.jpg.296x216.jpg', '万泰海公馆三居室打头房，视野宽阔采光充足', '万泰海公馆  | 3室2厅 | 124.59平米 | 南 北 | 其他', '低楼层(共32层)2008年建板楼  -  星颐广场', '150万', '单价12040元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload648a81a9-924f-4adb-a821-cd5b007548b2.jpg.296x216.jpg', '旭日小区 电梯房 精装修的单间 看房有钥匙', '旭日小区  | 4室2厅 | 173.89平米 | 南 北 | 简装', '高楼层(共11层)1994年建板楼  -  德胜', '173万', '单价9949元/平米')
('https://image1.ljcdn.com/370600-inspection/a88ed3b9-047b-4ff8-916e-3b7e951de918.jpg.296x216.jpg', '此房满五唯一，南北通透户型，老式装修，中间楼层', '金胜小区  | 3室1厅 | 91.94平米 | 南 北 | 其他', '中楼层(共6层)1995年建板楼  -  德胜', '110万', '单价11965元/平米')
('https://image1.ljcdn.com/370600-inspection/0982e419-04b3-4b81-a9cb-923b57c277e0.jpg.296x216.jpg', '澎湖湾南向小高层 全明不挡光 满二 看房方便', '金桥澎湖湾  | 2室1厅 | 80.2平米 | 南 | 其他', '低楼层(共18层)2015年建塔楼  -  北京中路', '82万', '单价10225元/平米')
