('https://image1.ljcdn.com/370600-inspection/e0f8d11c-d3ef-4b3a-b02e-e5f5e175e7ec.jpg.296x216.jpg', '福利莱小区  精装修  双南卧 拎包入住', '福利莱小区  | 2室1厅 | 72.58平米 | 南 北 | 精装', '高楼层(共6层)2004年建板楼  -  福海路', '65万', '单价8956元/平米')
('https://image1.ljcdn.com/370600-inspection/29f7c185-13b1-4f12-8f06-3948c8e1b441.jpg.296x216.jpg', '富豪青年国际广场，两室两厅一厨一卫。满五唯一。', '富豪青年国际广场  | 2室2厅 | 90.03平米 | 东南 | 其他', '低楼层(共12层)2006年建塔楼  -  富豪', '80万', '单价8886元/平米')
('https://image1.ljcdn.com/370600-inspection/59f1bdf9-c2a5-4896-80ec-7c2799c6d608.jpg.296x216.jpg', '此房满五唯一，带小棚，南北通透.', '曙光名座  | 3室2厅 | 85.7平米 | 南 北 | 其他', '高楼层(共7层)2004年建塔楼  -  鸿福街', '78万', '单价9102元/平米')
('https://image1.ljcdn.com/370600-inspection/bf6910dd-c6f9-4afb-b6b5-592979106eb1.jpg.296x216.jpg', '北一路好房源，比锦绣山庄新，朝向南向，周围环境优美', '锦绣山庄福霖居  | 2室1厅 | 68.77平米 | 南 | 其他', '低楼层(共5层)2007年建板楼  -  奇泉', '60万', '单价8725元/平米')
('https://image1.ljcdn.com/370600-inspection/77ca89de-8346-4e26-aec8-7f8938483971.jpg.296x216.jpg', '同福小区 2室1厅 65万', '同福小区  | 2室1厅 | 86.9平米 | 南 北 | 其他', '高楼层(共7层)2003年建板楼  -  福海路', '65万', '单价7480元/平米')
('https://image1.ljcdn.com/370600-inspection/7b7413cc-0761-4e01-9d7a-aa9525777fe5.jpg.296x216.jpg', '好房来袭，阳光首院，电梯洋房，带地下车位跟小棚。', '阳光首院  | 3室2厅 | 120平米 | 南 北 | 其他', '低楼层(共7层)暂无数据  -  首院', '170万', '单价14167元/平米')
('https://image1.ljcdn.com/370600-inspection/ee44d1ac-4f15-4dfb-9488-8e923a378b9d.jpg.296x216.jpg', '福山松霞路阳光首院，高档小区，环境优美', '阳光首院  | 3室1厅 | 83.81平米 | 南 北 | 其他', '高楼层(共7层)2016年建板楼  -  首院', '125万', '单价14915元/平米')
('https://image1.ljcdn.com/370600-inspection/1a146593-a94a-479e-9aa9-35fbd2167824.jpg.296x216.jpg', '星河城 福海路边 户型方正 中装修 西北向两室', '星河城  | 2室2厅 | 75平米 | 西北 | 其他', '中楼层(共30层)2011年建塔楼  -  福海路', '60万', '单价8000元/平米')
('https://image1.ljcdn.com/370600-inspection/287a4584-3e07-40e3-9bcd-f6d86da5b636.jpg.296x216.jpg', '此房南北通透，视野开阔，多层，交通便利', '福祥新苑  | 3室2厅 | 127平米 | 南 北 | 其他', '中楼层(共7层)2003年建板楼  -  富豪', '110万', '单价8662元/平米')
('https://image1.ljcdn.com/370600-inspection/f1234ae7-5327-41f2-8767-e33c59e66e2a.jpg.296x216.jpg', '富豪新天地，两室两厅一厨一卫，户型方正双南卧。', '富豪新天地  | 2室2厅 | 76.14平米 | 南 | 其他', '中楼层(共12层)2009年建板塔结合  -  富豪', '72万', '单价9457元/平米')
('https://image1.ljcdn.com/370600-inspection/888edb4c-5183-4e72-a729-86cb11d1a8fd.jpg.296x216.jpg', '富豪青年国际广场 2室1厅 42万', '富豪青年国际广场  | 2室1厅 | 60.64平米 | 南 北 | 其他', '高楼层(共7层)2006年建板楼  -  富豪', '42万', '单价6927元/平米')
