('https://image1.ljcdn.com/370600-inspection/2268727c-fdd4-49e0-88b2-b373cd71b3dc.JPG.296x216.jpg', '翡翠小区+南通路+大三居+南北通透+年代新框架房', '通世里  | 3室2厅 | 111.44平米 | 南 北 | 精装', '中楼层(共5层)1999年建板楼  -  南通路', '208万', '单价18665元/平米')
('https://image1.ljcdn.com/370600-inspection/e753ba0c-6e9a-4613-a86e-068586c08e3a.jpg.296x216.jpg', '十中潇湘+南北通透+温馨两室格局', '东沟路  | 2室1厅 | 57.96平米 | 南 北 | 简装', '中楼层(共7层)1991年建板楼  -  解放路', '130万', '单价22430元/平米')
('https://image1.ljcdn.com/370600-inspection/4f7f75d8-64a0-44e6-879d-411f73821591.jpg.296x216.jpg', '二马路 封闭小区 框架房年代新 东打头 有车库 低楼层', '二马路  | 3室2厅 | 126.32平米 | 东 南 北 | 简装', '低楼层(共7层)板楼  -  二马路', '350万', '单价27708元/平米')
('https://image1.ljcdn.com/370600-inspection/08d6e9b3-e1a7-47d5-9f8d-acabd77208dc.jpg.296x216.jpg', '2楼+南北通透+看房有钥匙+生活方便', '北环山里  | 2室1厅 | 53.26平米 | 南 北 | 简装', '中楼层(共5层)1990年建板楼  -  二马路', '138万', '单价25911元/平米')
('https://image1.ljcdn.com/370600-inspection/a24e64af-61da-4907-b765-ae0b6514c5a4.jpg.296x216.jpg', '北环山里 马赛克房 两室两厅卫生间带明窗', '北环山里  | 2室2厅 | 58.64平米 | 南 北 | 简装', '高楼层(共5层)1990年建板楼  -  二马路', '163万', '单价27797元/平米')
('https://image1.ljcdn.com/370600-inspection/0b724431-8731-41a6-9fb2-572aab20839e.jpg.296x216.jpg', '配套设施齐全，采光好，交通便利', '新世界花园  | 4室2厅 | 129.37平米 | 南 北 | 其他', '中楼层(共20层)2005年建板楼  -  幸福', '129万', '单价9972元/平米')
('https://image1.ljcdn.com/370600-inspection/a5f43f36-0f72-49a9-a3b8-c785b9b256a2.JPG.296x216.jpg', '世和胡同  中间楼层 位置好 看房方便', '世和胡同  | 2室1厅 | 49.42平米 | 东 西 | 其他', '中楼层(共6层)1985年建板楼  -  毓璜顶', '98万', '单价19831元/平米')
('https://image1.ljcdn.com/370600-inspection/06d5f748-e92b-4e5b-8e6e-f7f684c91216.JPG.296x216.jpg', '上林苑 低楼层 装修保持的不错 拎包入住', '上林苑  | 2室1厅 | 63.31平米 | 南 | 其他', '中楼层(共7层)2004年建板楼  -  世回尧', '75万', '单价11847元/平米')
('https://image1.ljcdn.com/370600-inspection/4d452d9e-b32b-437e-a878-9957bd6a6656.jpg.296x216.jpg', '南迎祥路 少见的小区式住宅 年代新', '南迎祥路  | 2室2厅 | 92.1平米 | 南 北 | 其他', '中楼层(共6层)1988年建板楼  -  上夼', '180万', '单价19544元/平米')
('https://image1.ljcdn.com/370600-inspection/06e96d08-e27e-4e88-8011-277552e9d98d.JPG.296x216.jpg', '花园里 楼层好 环境好视野宽阔', '花园里  | 3室2厅 | 80.5平米 | 南 北 | 其他', '低楼层(共3层)1998年建板楼  -  新桥', '85万', '单价10560元/平米')
('https://image1.ljcdn.com/370600-inspection/3d651992-2c38-431c-bb60-bd5a90715a87.jpg.296x216.jpg', '虹口大厦 3室 客厅大 餐厅大 海景房 住宅证', '虹口大厦  | 3室1厅 | 164平米 | 西 北 | 其他', '高楼层(共29层)2000年建塔楼  -  解放路', '193.5万', '单价11799元/平米')
('https://image1.ljcdn.com/370600-inspection/97edd102-bde2-4283-9e43-b361aa669c71.JPG.296x216.jpg', '芝罘区 新桥  松园里     2室2厅', '松园里  | 2室2厅 | 79.07平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  新桥', '72万', '单价9106元/平米')
('https://image1.ljcdn.com/370600-inspection/9dba093b-d899-4954-a613-93dba8049bf8.jpg.296x216.jpg', '万科海云台 大三居高楼层 事业开阔房子从未入住', '万科海云台  | 3室2厅 | 128.22平米 | 东南 | 其他', '高楼层(共16层)2011年建板楼  -  幸福', '185万', '单价14429元/平米')
('https://image1.ljcdn.com/370600-inspection/8e174ccf-3d9e-44c8-9024-caaa0ee81d55.jpg.296x216.jpg', '汽车总站低楼层小俩居拎包入住。', '通伸南街  | 2室2厅 | 70.11平米 | 南 北 | 其他', '低楼层(共5层)1985年建板楼  -  三站', '80万', '单价11411元/平米')
('https://image1.ljcdn.com/370600-inspection/8b14d4ae-6e81-4901-881d-1a70d36a9da1.jpg.296x216.jpg', '南大街旁电梯房，南北通透，三室两卫打头房，采光好', '阳光御景花园  | 3室2厅 | 138.7平米 | 南 北 | 其他', '高楼层(共12层)2005年建塔楼  -  三站', '160万', '单价11536元/平米')
