('https://image1.ljcdn.com/370600-inspection/288344a8-efb0-40b8-86ce-0746113bf520.jpg.296x216.jpg', '南北通透，打头房，南厅双南卧，封闭式，带45平花园', '御景观城  | 4室2厅 | 218.91平米 | 南 北 | 毛坯', '低楼层(共22层)2015年建板楼  -  后七夼', '400万', '单价18273元/平米')
('https://image1.ljcdn.com/370600-inspection/40d54dde-e40e-4c17-9133-5cb4fdc33094.jpg.296x216.jpg', '石沟屯在售价格最合适的房子，带车库小棚', '新城北街  | 3室2厅 | 90.25平米 | 南 北 | 简装', '中楼层(共6层)1999年建板楼  -  石沟屯', '155万', '单价17175元/平米')
('https://image1.ljcdn.com/370600-inspection/5ef05079-d14f-4d99-a473-8fb819206b65.jpg.296x216.jpg', '繁华地段 购物便利 菜市场商场步行即到', '飞龙小区  | 3室2厅 | 90.12平米 | 南 北 | 其他', '中楼层(共7层)2001年建板楼  -  迎春大街', '135万', '单价14981元/平米')
('https://image1.ljcdn.com/370600-inspection/4c296431-d4cc-4fa2-b880-5c157479312a.jpg.296x216.jpg', '天籁花园 2室2厅 120万', '天籁花园  | 2室2厅 | 82.91平米 | 南 | 其他', '中楼层(共18层)2008年建板楼  -  山海南路', '120万', '单价14474元/平米')
('https://image1.ljcdn.com/370600-inspection/88b2a4c2-d722-4ce7-bb10-c4eb73c193a0.jpg.296x216.jpg', '大华上海滩南北通透两居室，厨房卫生间都有窗户', '大华上海滩花园  | 2室1厅 | 105.84平米 | 南 北 | 其他', '高楼层(共24层)2012年建板楼  -  三滩社区', '170万', '单价16062元/平米')
('https://image1.ljcdn.com/370600-inspection/81c0ff0a-f000-4d26-aed0-9c55b15c1932.jpg.296x216.jpg', '绿色家园 3室2厅 145万', '绿色家园  | 3室2厅 | 110.94平米 | 东南 | 简装', '低楼层(共10层)2006年建板塔结合  -  迎春大街', '145万', '单价13071元/平米')
('https://image1.ljcdn.com/370600-inspection/cda64c84-d874-4768-9019-e6e5413d267b.jpg.296x216.jpg', '满五年，双南卧南北通透，视野宽阔采光充足，可看海', '海滨花园小区宏川路  | 2室2厅 | 69平米 | 南 北 | 简装', '高楼层(共7层)1998年建板楼  -  后七夼', '126万', '单价18261元/平米')
('https://image1.ljcdn.com/370600-inspection/test-92e549cd-5dd2-4e45-a488-5fe05e5e081e.png.296x216.jpg', '保利小区最南排，南向开阔无遮挡，南厅双南卧', '保利香榭里公馆  | 3室2厅 | 143.89平米 | 南 北 | 精装', '中楼层(共18层)2015年建板楼  -  山海南路', '225万', '单价15637元/平米')
('https://image1.ljcdn.com/370600-inspection/39a184c1-aa22-44b4-afe7-1b719c0eca6d.jpg.296x216.jpg', '南北通透三居室 双南卧 价格税费各付 公摊小', '曹家花园小区  | 3室2厅 | 88.7平米 | 南 北 | 简装', '低楼层(共7层)2002年建板楼  -  迎春大街', '123万', '单价13867元/平米')
('https://image1.ljcdn.com/370600-inspection/e491c268-ee9e-4320-bd4d-b9d381d183d2.jpg.296x216.jpg', '多层住宅，户型方正，顶层复式，送露台', '澳柯玛小区  | 3室2厅 | 130.62平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  南塂', '150万', '单价11484元/平米')
('https://image1.ljcdn.com/370600-inspection/ec67efde-5c29-4e8e-bd5e-8d30ea19e578.jpg.296x216.jpg', '迟家，中间楼层东打头，全明户型，有小棚', '新星西巷  | 2室2厅 | 71.67平米 | 南 北 | 其他', '中楼层(共5层)1995年建板楼  -  迟家', '140万', '单价19534元/平米')
('https://image1.ljcdn.com/370600-inspection/7297f951-4b20-4605-acb2-6ce8cc493e1c.JPG.296x216.jpg', '华府精装三居室，南厅南卧，全明户型，采光好', '南山世纪华府  | 3室1厅 | 156.93平米 | 南 北 | 精装', '高楼层(共34层)2007年建塔楼  -  大学城', '286万', '单价18225元/平米')
('https://image1.ljcdn.com/370600-inspection/accc9ff9-0434-48e1-8e46-7034062644af.jpg.296x216.jpg', '澳柯玛小区 2室1厅 95万', '澳柯玛小区  | 2室1厅 | 84.32平米 | 南 北 | 其他', '低楼层(共6层)2003年建板楼  -  南塂', '95万', '单价11267元/平米')
('https://image1.ljcdn.com/370600-inspection/3d4df8c9-ca24-4425-aaba-33db538747bf.jpg.296x216.jpg', '府前花园双南卧两居室，精装修拎包入住带平台。', '万光府前花园  | 2室2厅 | 75.47平米 | 南 | 其他', '低楼层(共16层)2008年建板楼  -  迎春大街', '116万', '单价15371元/平米')
('https://image1.ljcdn.com/370600-inspection/f65a8bb4-5a71-4a01-bb7c-ca4addca2dd2.jpg.296x216.jpg', '纯南向，采光效果好，产证满两年', '保利香榭里公馆  | 2室1厅 | 75.46平米 | 南 | 精装', '低楼层(共30层)2014年建板楼  -  山海南路', '105万', '单价13915元/平米')
('https://image1.ljcdn.com/370600-inspection/cbf1304d-626d-41ad-947d-e79282f703ca.JPG.296x216.jpg', '万光观海花园，西打头，毛坯房，赠送大阳台', '万光观海花园  | 3室2厅 | 109.01平米 | 南 北 | 其他', '高楼层(共5层)板楼  -  石沟屯', '180万', '单价16513元/平米')
('https://image1.ljcdn.com/370600-inspection/71ad5818-2e58-4a9e-8615-c6be01814cbb.jpg.296x216.jpg', '大华上海滩花园 3室1厅 200万', '大华上海滩花园  | 3室1厅 | 118.88平米 | 南 | 其他', '高楼层(共18层)2012年建板楼  -  三滩社区', '200万', '单价16824元/平米')
('https://image1.ljcdn.com/370600-inspection/78cdaf8d-6709-4432-af4b-9091a0fb2249.jpg.296x216.jpg', '金海岸3+4复式 封闭沿海社区 有车库 全明户型 单价低', '金海岸花园  | 5室2厅 | 217平米 | 南 西 北 | 其他', '中楼层(共7层)2003年建板楼  -  石沟屯', '378万', '单价17420元/平米')
('https://image1.ljcdn.com/370600-inspection/035d073d-cb30-47b3-8fa2-3218ccdd4972.jpg.296x216.jpg', '双南卧带书房户型方正通透装修保持的挺好可以拎包入住', '岱山小区西区  | 3室2厅 | 119.64平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  石沟屯', '245万', '单价20479元/平米')
('https://image1.ljcdn.com/370600-inspection/2b13b35a-55dd-4338-b775-1854cf413fbe.jpg.296x216.jpg', '东打头 明厨明卫3居室 楼层低 生活方便', '绿色家园  | 3室2厅 | 98.17平米 | 东南 | 精装', '低楼层(共14层)2005年建塔楼  -  迎春大街', '127万', '单价12937元/平米')
('https://image1.ljcdn.com/370600-inspection/d2c76fb0-3f2c-41da-84b4-11503091c616.jpg.296x216.jpg', '绿色家园东南向三居室，精装修拎包入住', '绿色家园  | 3室1厅 | 120.38平米 | 东南 | 其他', '中楼层(共16层)2006年建板楼  -  迎春大街', '155万', '单价12876元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload85d3f81d-259b-41b5-83e8-71758fc3ef45.jpg.296x216.jpg', '顶加阁楼，阁楼实用面积大，精装几乎未住。', '鹿鸣小区  | 3室2厅 | 142.96平米 | 南 北 | 其他', '高楼层(共11层)2003年建板楼  -  石沟屯', '400万', '单价27980元/平米')
('https://image1.ljcdn.com/370600-inspection/93f890e2-80ed-412c-be80-fef83b56e359.JPG.296x216.jpg', '两梯两户南北通透满五唯一，精装修家具赠送，价格各付', '南山世纪华庭  | 4室2厅 | 220.69平米 | 南 北 | 其他', '低楼层(共32层)2010年建板楼  -  大学城', '260万', '单价11782元/平米')
('https://image1.ljcdn.com/370600-inspection/896cfb9c-a24e-4228-b7cd-011b78e6c7ee.JPG.296x216.jpg', '成熟社区  南北通透  采光充足', '公路小区  | 3室2厅 | 74.59平米 | 南 北 | 其他', '低楼层(共6层)2003年建板楼  -  石沟屯', '155万', '单价20781元/平米')
('https://image1.ljcdn.com/370600-inspection/782e8bc3-8023-4246-8915-6d87296a882d.jpg.296x216.jpg', '万象城 精装修 三居室 南北通透', '万象城  | 3室2厅 | 127平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  大学城', '270万', '单价21260元/平米')
('https://image1.ljcdn.com/370600-inspection/a8d1785f-9d8f-495b-bf32-9bb0c71b73fd.jpg.296x216.jpg', '黄海城市花园南厅南卧双北卧全名格局', '黄海城市花园  | 3室2厅 | 162.02平米 | 南 北 | 简装', '高楼层(共12层)2003年建板楼  -  黄海', '310万', '单价19134元/平米')
('https://image1.ljcdn.com/370600-inspection/b001c8c4-7120-4219-937f-f24233512456.JPG.296x216.jpg', '低楼层 四居室 公摊小 位置佳 出行 购物方便 南北通透', '声远山庄  | 4室2厅 | 143.87平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  石沟屯', '260万', '单价18072元/平米')
('https://image1.ljcdn.com/370600-inspection/d14d04f9-dc40-4e85-8091-548474d775db.jpg.296x216.jpg', '西打头+大三居+毛坯+采光无遮挡', '南山世纪华庭  | 3室2厅 | 130平米 | 南 北 | 其他', '低楼层(共28层)2009年建板塔结合  -  大学城', '169万', '单价13000元/平米')
('https://image1.ljcdn.com/370600-inspection/e186c3ed-18eb-43f7-a989-630622dfca8f.jpg.296x216.jpg', '南山世纪华府精装两居室 全明户型 可拎包入住', '南山世纪华府  | 2室1厅 | 83.64平米 | 东北 | 其他', '低楼层(共33层)2007年建塔楼  -  大学城', '125万', '单价14946元/平米')
('https://image1.ljcdn.com/370600-inspection/c505675f-6312-4744-a45a-2b69c0d47588.jpg.296x216.jpg', '一梯一户 总高五楼的四楼 几乎无公摊 稀有东打头', '四季花城  | 4室2厅 | 151.83平米 | 南 北 | 毛坯', '中楼层(共5层)2008年建板楼  -  迎春大街', '270万', '单价17784元/平米')
('https://image1.ljcdn.com/370600-inspection/fa588db8-0fdd-44a6-93a8-9796d5031770.JPG.296x216.jpg', '海天名人广场 5室2厅 548.6万', '海天名人广场  | 5室2厅 | 261.24平米 | 东南 | 其他', '高楼层(共25层)2005年建塔楼  -  前七夼', '548.6万', '单价21000元/平米')
('https://image1.ljcdn.com/370600-inspection/4b4ff1ca-010e-4912-9c61-40ece7abe79b.jpg.296x216.jpg', '万光府前花园精装南向两居室，公寓，40年产权', '万光府前花园  | 2室1厅 | 83.34平米 | 南 | 精装', '高楼层(共5层)2008年建塔楼  -  迎春大街', '68万', '单价8160元/平米')
('https://image1.ljcdn.com/370600-inspection/73bde6d6-60a2-42cf-8d2a-f7beac5fcdc1.jpg.296x216.jpg', '天籁花园+简装两居+采光好+视野好+小区里面安静', '天籁花园  | 2室2厅 | 77.28平米 | 南 | 毛坯', '高楼层(共12层)2008年建板楼  -  山海南路', '105万', '单价13587元/平米')
('https://image1.ljcdn.com/370600-inspection/9b8762e0-1738-4079-8770-715bc857f5e2.jpg.296x216.jpg', '绿色家园 2室2厅 100万', '绿色家园  | 2室2厅 | 79.66平米 | 东北 | 其他', '低楼层(共27层)2006年建塔楼  -  迎春大街', '100万', '单价12554元/平米')
('https://image1.ljcdn.com/370600-inspection/d8b00371-2a4b-43cf-b809-df57f0d83c41.jpg.296x216.jpg', '精装简欧风格，看海效果好，赠送车位和小棚', '南山世纪华庭  | 3室2厅 | 219.41平米 | 南 北 | 精装', '中楼层(共32层)2009年建板楼  -  大学城', '269万', '单价12261元/平米')
('https://image1.ljcdn.com/370600-inspection/0e16ee7c-fea3-4619-880a-df8f8ab81cc9.JPG.296x216.jpg', '飞龙集团建设 2014年的婚房装修 看山看海 拎包入住', '飞龙苑  | 4室1厅 | 125.84平米 | 南 北 | 其他', '高楼层(共7层)2002年建板楼  -  前七夼', '232万', '单价18437元/平米')
('https://image1.ljcdn.com/370600-inspection/8240cf59-8862-4ca2-90e8-dd214efe7524.jpg.296x216.jpg', '华府南排三居室，视野采光无遮挡，南厅双南卧户型好', '南山世纪华府  | 3室2厅 | 145.67平米 | 南 北 | 精装', '高楼层(共30层)2007年建塔楼  -  大学城', '255万', '单价17506元/平米')
('https://image1.ljcdn.com/370600-inspection/5fbf2b92-f35e-45b4-af73-16b1982c2e07.jpg.296x216.jpg', '双南卧，精装修，拎包入住，格局方正地暖，天燃气入户', '绿色家园  | 2室1厅 | 67.09平米 | 南 | 精装', '低楼层(共27层)2006年建塔楼  -  迎春大街', '88万', '单价13117元/平米')
('https://image1.ljcdn.com/370600-inspection/a2ba88a0-ae9f-4f9c-9592-5b36416aa4fe.jpg.296x216.jpg', '大华上海滩花园 2室2厅 162万', '大华上海滩花园  | 2室2厅 | 102.58平米 | 南 北 | 其他', '高楼层(共18层)2012年建板楼  -  三滩社区', '162万', '单价15793元/平米')
('https://image1.ljcdn.com/370600-inspection/1ef8a0f4-4a04-463a-b933-5167aed97cd6.jpg.296x216.jpg', '清泉寨精装修 中间楼层 看房方便 双卫带窗户', '清泉寨城中区  | 4室2厅 | 126.55平米 | 南 北 | 精装', '中楼层(共7层)2002年建板楼  -  大学城', '195万', '单价15409元/平米')
('https://image1.ljcdn.com/370600-inspection/e4326aaf-ba03-4654-8585-fb99e6fd5af6.jpg.296x216.jpg', '保利香榭里公馆 3室2厅 280万', '保利香榭里公馆  | 3室2厅 | 143平米 | 南 北 | 其他', '低楼层(共18层)2015年建板楼  -  山海南路', '280万', '单价19581元/平米')
('https://image1.ljcdn.com/370600-inspection/88e0fc73-5493-48c1-a68c-5f0dc41a2183.jpg.296x216.jpg', '澳柯玛小区，多层，南北通透，带阳台', '澳柯玛小区  | 2室2厅 | 86.18平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  南塂', '110万', '单价12764元/平米')
('https://image1.ljcdn.com/370600-inspection/9b97c424-ef05-4824-b65e-87ab2a069682.jpg.296x216.jpg', '精装大两居，南北通透！小高层，楼层适中！', '大华上海滩花园  | 2室2厅 | 100.44平米 | 南 北 | 精装', '中楼层(共11层)2012年建板楼  -  三滩社区', '155万', '单价15433元/平米')
('https://image1.ljcdn.com/370600-inspection/e759d3cf-9a2b-4fc1-a218-d6bcbc008b30.jpg.296x216.jpg', '御景观城 打头房 带南向45平花园 毛坯房 南厅双南卧', '御景观城  | 3室2厅 | 181平米 | 南 北 | 毛坯', '低楼层(共4层)2013年建板楼  -  后七夼', '450万', '单价24862元/平米')
('https://image1.ljcdn.com/370600-inspection/fd64d863-b4ac-4b37-b158-89ab6a0895ca.JPG.296x216.jpg', '大学城东打头海景房 精装修 三室通透板楼 中高楼层', '南山世纪华府  | 3室2厅 | 158.97平米 | 南 北 | 精装', '高楼层(共34层)2007年建塔楼  -  大学城', '254万', '单价15978元/平米')
('https://image1.ljcdn.com/370600-inspection/07fc88ce-e4c4-46ca-a45c-4b2e37a168aa.jpg.296x216.jpg', '四季花城三期洋房，大开间南北大阳台，南北通透三居室', '四季花城  | 3室2厅 | 136.23平米 | 南 北 | 毛坯', '中楼层(共5层)2011年建板楼  -  迎春大街', '258万', '单价18939元/平米')
('https://image1.ljcdn.com/370600-inspection/41127f6c-be71-4e61-bcc3-6a63a9aba01a.jpg.296x216.jpg', '东南向两居室   全明户型    海景效果好', '南山世纪华府  | 2室1厅 | 109.08平米 | 东南 | 简装', '高楼层(共34层)2007年建塔楼  -  大学城', '165万', '单价15127元/平米')
