('https://image1.ljcdn.com/370600-inspection/02e6fd8e-c06d-4473-b5c4-a6916f3a1670.JPG.296x216.jpg', '房子是精装修的 户型特别方正 南北通透', '中海紫御公馆  | 3室2厅 | 141平米 | 南 北 | 精装', '中楼层(共33层)2013年建板塔结合  -  科技大道', '228万', '单价16171元/平米')
('https://image1.ljcdn.com/370600-inspection/a158d0c9-baf6-4b22-af91-6393d5a86ddb.jpg.296x216.jpg', '银海熙岸一楼 两居室，毛坯房，采光不影响', '中海银海熙岸  | 2室1厅 | 82.83平米 | 南 北 | 毛坯', '低楼层(共19层)2013年建板塔结合  -  东泊子', '90万', '单价10866元/平米')
('https://image1.ljcdn.com/370600-inspection/6c90db33-c432-44d8-bf0f-cc0128d640f3.jpg.296x216.jpg', '海天雅筑落地窗大四居，双卫生间，主卧带衣帽间', '海天雅筑  | 4室2厅 | 157.64平米 | 南 北 | 其他', '低楼层(共28层)暂无数据  -  科技大道', '173万', '单价10975元/平米')
('https://image1.ljcdn.com/370600-inspection/8c1513d8-e12d-49ca-b17f-ddd6edb51ab2.jpg.296x216.jpg', '中海银海熙岸精装三室两厅标准耳朵户型出售', '中海银海熙岸  | 3室2厅 | 109.21平米 | 南 北 | 精装', '高楼层(共18层)2013年建板塔结合  -  东泊子', '165万', '单价15109元/平米')
('https://image1.ljcdn.com/370600-inspection/test-a3d6b428-a20e-4ee7-8e41-38e8c8a1b54a.png.296x216.jpg', '中海国际社区新上装修小两居，送地下小棚和设施。', '中海国际社区  | 2室2厅 | 69.95平米 | 南 北 | 精装', '中楼层(共33层)2017年建塔楼  -  科技大道', '93.5万', '单价13367元/平米')
('https://image1.ljcdn.com/370600-inspection/fb04473c-9b75-48f0-9166-252bb09cd568.jpg.296x216.jpg', '中海新上打头三居室+精装海景房+两卫全明看房方便！', '中海银海熙岸  | 3室2厅 | 136.8平米 | 南 北 | 精装', '低楼层(共33层)2013年建板塔结合  -  东泊子', '205万', '单价14986元/平米')
('https://image1.ljcdn.com/370600-inspection/a457bba5-7183-4cd4-9fc0-d9b1e3dc1c27.jpg.296x216.jpg', '央企开发！户型设计合理！毛坯房可自己装修', '中海国际社区  | 2室1厅 | 72.66平米 | 南 北 | 其他', '中楼层(共33层)2017年建塔楼  -  科技大道', '94万', '单价12937元/平米')
('https://image1.ljcdn.com/370600-inspection/523e090d-eb6c-4199-904c-52550fa153c9.jpg.296x216.jpg', '南北通透.小三居.户型方正.价格合适.', '力高阳光海岸  | 3室2厅 | 81.5平米 | 南 北 | 其他', '低楼层(共30层)2016年建板楼  -  牟平', '100万', '单价12270元/平米')
('https://image1.ljcdn.com/370600-inspection/cb3ea630-b822-4382-983e-6e85adac3ca7.jpg.296x216.jpg', '中海银海熙岸精装三居室，南北通透，采光好，视野广阔', '中海银海熙岸  | 3室2厅 | 120.57平米 | 南 北 | 精装', '低楼层(共19层)2013年建板塔结合  -  东泊子', '175万', '单价14515元/平米')
('https://image1.ljcdn.com/370600-inspection/fbf710a5-dc3c-45d4-9c43-1778e6ffb2f2.jpg.296x216.jpg', '紫御公馆精装大四居，带车位小棚，海景采光无遮挡！', '中海紫御公馆  | 4室2厅 | 281.48平米 | 南 北 | 其他', '高楼层(共32层)2013年建板楼  -  科技大道', '450万', '单价15987元/平米')
('https://image1.ljcdn.com/370600-inspection/4d00cfb8-0fdb-48f4-8173-3d2a0754fa56.jpg.296x216.jpg', '中海紫御公馆 4室2厅 225万', '中海紫御公馆  | 4室2厅 | 141.43平米 | 南 | 其他', '高楼层(共33层)2013年建板楼  -  科技大道', '225万', '单价15909元/平米')
