('https://image1.ljcdn.com/442000-inspection/7966e88d-3379-4481-956a-5743cd4c3043.jpg.296x216.jpg', '阳光翠苑 4室1厅 206万', '阳光翠苑  ', '中楼层(共8层)2008年建塔楼  -  长命水', '206万', '单价12662元/平米')
('https://image1.ljcdn.com/442000-inspection/4e7b7f53-2e83-4f19-adf8-caae8a8a027e.jpg.296x216.jpg', '五桂山 阳光翠苑 步梯三房 安静不靠路 朝南望别墅', '阳光翠苑  ', '低楼层(共6层)2008年建塔楼  -  长命水', '128万', '单价10898元/平米')
('https://image1.ljcdn.com/442000-inspection/52fe81bd-6fde-4a28-992a-ae7855ec31f0.jpg.296x216.jpg', '翠山雅筑 税费少 三个公共平台 电梯楼', '翠山雅筑  ', '高楼层(共9层)2009年建塔楼  -  长命水', '120万', '单价14380元/平米')
('https://image1.ljcdn.com/442000-inspection/6e51118f-a775-457c-93e9-30d93512ba1e.jpg.296x216.jpg', '五桂山 领东上筑 精装三房 中低楼层 适合一家人居住', '领东上筑  ', '低楼层(共11层)2008年建塔楼  -  长命水', '150万', '单价14574元/平米')
('https://image1.ljcdn.com/442000-inspection/746e0285-1eee-4181-a7bf-2d6d463ae41b.jpg.296x216.jpg', '五桂山 阳光翠苑 电梯两房 中高楼层 采光通风好', '阳光翠苑  ', '高楼层(共6层)2008年建塔楼  -  长命水', '116万', '单价12907元/平米')
('https://image1.ljcdn.com/442000-inspection/2fc361af-7f7b-4f29-a748-068d5f8dd247.jpg.296x216.jpg', '五桂山 阳光翠苑 精致2+1房 户型方正 采光通风好', '阳光翠苑  ', '高楼层(共6层)2008年建塔楼  -  长命水', '110万', '单价11601元/平米')
('https://image1.ljcdn.com/442000-inspection/f3b1f74f-ef3a-4b4a-ab68-949340de5914.jpg.296x216.jpg', '阳光翠苑 歩梯中层 温馨两房 对流户型', '阳光翠苑  ', '中楼层(共6层)2008年建塔楼  -  长命水', '110万', '单价12065元/平米')
('https://image1.ljcdn.com/442000-inspection/d5341336-6722-4b29-9795-9bcb35073d2b.jpg.296x216.jpg', '五桂山 领东上筑 精装三房 南北对流 中高楼层', '领东上筑  ', '中楼层(共11层)2008年建塔楼  -  长命水', '150万', '单价13932元/平米')
('https://image1.ljcdn.com/442000-inspection/54e641d4-cb25-4ee1-9c0c-5558abd28f59.jpg.296x216.jpg', '旭日曦苑  格局方正1室 保养新 证满两年 诚心出售', '旭日曦苑  ', '低楼层(共11层)塔楼  -  长命水', '53万', '单价11480元/平米')
('https://image1.ljcdn.com/442000-inspection/1d2aad4a-e5f6-4a5d-af65-7d63faec24cf.jpg.296x216.jpg', '领东上筑 3室2厅 140万', '领东上筑  ', '低楼层(共11层)2008年建塔楼  -  长命水', '140万', '单价14495元/平米')
('https://image1.ljcdn.com/442000-inspection/089d73da-ad8a-4d9e-87cb-64ec498ff76e.jpg.296x216.jpg', '五桂山阳光翠苑 双层毛坯复式 前后花园', '阳光翠苑  ', '中楼层(共6层)2008年建塔楼  -  长命水', '350万', '单价14831元/平米')
