('https://image1.ljcdn.com/442000-inspection/7ae8e557-7dac-4899-aa8c-c1d607532b3b.jpg.296x216.jpg', '世纪新城幸福时光 中楼层 东南朝向两房 视野无遮挡', '世纪新城二期幸福时光  ', '中楼层(共32层)2010年建板楼  -  博爱一南', '138万', '单价15056元/平米')
('https://image1.ljcdn.com/442000-inspection/885c1d58-8c91-4861-bd00-4faff044a1d5.jpg.296x216.jpg', '中海翠林兰溪园 满五年 南北联排别墅 业主诚心出租', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '368万', '单价17566元/平米')
('https://image1.ljcdn.com/442000-inspection/bfecf2b1-7f12-49b9-a39d-bc23f442bdd6.jpg.296x216.jpg', '汽车总站附近 东悦星寓 一房公寓 诚意出售', '东悦星寓  ', '中楼层(共14层)2010年建塔楼  -  龙瑞', '46万', '单价8985元/平米')
('https://image1.ljcdn.com/442000-inspection/fc2cab73-c979-4d60-a538-5d35c1ecde60.jpg.296x216.jpg', '中海翠林 联排别墅 南北对流 中空客厅 看房方便', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '390万', '单价17181元/平米')
('https://image1.ljcdn.com/442000-inspection/5f783ff5-56f4-4823-9e6d-c015e8f365e6.jpg.296x216.jpg', '中海翠林 毛坯大三房 中高楼层 南向 带车位出售', '中海翠林兰溪园  ', '中楼层(共18层)2009年建板楼  -  中海翠林', '168万', '单价11638元/平米')
('https://image1.ljcdn.com/442000-inspection/29f8124a-e184-4486-bbb6-d947d4e25a92.jpg.296x216.jpg', '苏荷雅居 装修三房 户型方正 诚意出售', '苏荷雅居  ', '低楼层(共18层)2002年建塔楼  -  溪角中学', '113万', '单价12574元/平米')
('https://image1.ljcdn.com/442000-inspection/dfb6d12c-0d2e-4334-bc70-b54722f7aff9.jpg.296x216.jpg', '中海翠林 电梯4房 中间楼层  南北对流  安静不吵', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '140万', '单价10742元/平米')
('https://image1.ljcdn.com/442000-inspection/ef26f50c-8e9e-451a-95e5-ec4419a4aaf2.jpg.296x216.jpg', '中信左岸 南北对流 毛坯宽敞三房两厅两卫 诚售', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '158万', '单价13983元/平米')
('https://image1.ljcdn.com/442000-inspection/f4981570-d717-4f01-bc48-665aa78f5bfb.jpg.296x216.jpg', '时代倾城 3室2厅 170万', '时代倾城  ', '中楼层(共23层)2013年建塔楼  -  博爱一南', '170万', '单价13493元/平米')
('https://image1.ljcdn.com/442000-inspection/2158eaa5-22c4-45da-9f11-0cd3e8b0eba0.jpg.296x216.jpg', '中海翠林兰溪园 4房 带车位 满2年 保养好', '中海翠林兰溪园  ', '高楼层(共9层)2009年建板楼  -  中海翠林', '168万', '单价13509元/平米')
('https://image1.ljcdn.com/442000-inspection/41a01da7-6de8-4675-8933-27035945886e.JPG.296x216.jpg', '汇豪花园 3室2厅 75万', '汇豪花园  ', '高楼层(共6层)2008年建塔楼  -  沙溪镇政府', '75万', '单价7500元/平米')
('https://image1.ljcdn.com/442000-inspection/6dbf138a-cb51-4ddb-88e0-c04b108f82e0.jpg.296x216.jpg', '中信左岸 格局方正3房  免增值税 业主诚意出售', '中信左岸花园  ', '中楼层(共14层)板楼  -  博爱一南', '128万', '单价12936元/平米')
('https://image1.ljcdn.com/442000-inspection/beb4ff96-70da-4dee-a5c9-674ea327f45f.jpg.296x216.jpg', '星宝商圈，金都商业广场，简装三房，诚心出售！', '金都商业广场  ', '高楼层(共10层)塔楼  -  星宝', '85万', '单价11363元/平米')
('https://image1.ljcdn.com/442000-inspection/4e5cffc7-fa9b-429f-ad55-5f0d289fc6b5.jpg.296x216.jpg', '满五唯 一 带阳台 二房 中高楼层', '陶欣华阁  ', '中楼层(共7层)2008年建板楼  -  溪角中学', '50万', '单价10171元/平米')
('https://image1.ljcdn.com/442000-inspection/d383f790-7120-4468-adc6-567be320ec29.jpg.296x216.jpg', '中信左岸毛坯3房高层 满五年 诚售', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '150万', '单价13220元/平米')
('https://image1.ljcdn.com/442000-inspection/a1be3e33-851f-4add-a8de-d08cf8847801.jpg.296x216.jpg', '中信左岸精装五房出售，南北对流，价钱合适', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '320万', '单价19777元/平米')
('https://image1.ljcdn.com/442000-inspection/3bc80c64-c3eb-4b94-ba29-24e01db79c72.jpg.296x216.jpg', '世纪新城 毛坯三房两卫 朝南  诚意出售', '世纪新城二期幸福时光  ', '中楼层(共28层)2010年建板楼  -  博爱一南', '178.5万', '单价14948元/平米')
('https://image1.ljcdn.com/442000-inspection/5df24e21-0700-448d-a926-c8a9e59b5fc5.jpg.296x216.jpg', '中海翠林兰溪园 联排别墅 装修温馨', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '500万', '单价25326元/平米')
('https://image1.ljcdn.com/442000-inspection/0c2349ff-f9be-42c0-b5f3-f96115339f9b.jpg.296x216.jpg', '满五唯一  简单装修3房  南北通透  小区环境好', '中海翠林兰溪园  ', '低楼层(共9层)2009年建板楼  -  中海翠林', '93万', '单价10055元/平米')
('https://image1.ljcdn.com/442000-inspection/fea421b8-4a6e-4dcf-8a72-600dea9e95be.jpg.296x216.jpg', '时代倾城 毛坯出售 格局方正 居住舒适', '时代倾城  ', '高楼层(共32层)2014年建塔楼  -  博爱一南', '150万', '单价16381元/平米')
('https://image1.ljcdn.com/442000-inspection/d3702b38-db57-4bab-9c8b-9c0ddc670fbf.jpg.296x216.jpg', '世纪三期别墅 毛坯 买两层赠送一层', '世纪新城三期  ', '1层暂无数据  -  博爱一南', '600万', '单价37038元/平米')
('https://image1.ljcdn.com/442000-inspection/f30b725c-e6db-4143-ad0f-5f305f59cd60.jpg.296x216.jpg', '世纪新城 东南朝向  望花园  带装修出售', '世纪新城三期  ', '低楼层(共23层)板楼  -  博爱一南', '160万', '单价13907元/平米')
('https://image1.ljcdn.com/442000-inspection/7322d166-e594-42c8-9093-122e43f63b63.jpg.296x216.jpg', '世纪新城 精装四房两卫  诚意出售', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '225万', '单价15669元/平米')
('https://image1.ljcdn.com/442000-inspection/bdb305c6-008c-4eb8-82bf-55bda24377da.jpg.296x216.jpg', '金逸豪庭 三房两厅两卫 高层带精装修', '金逸豪庭  ', '中楼层(共18层)2006年建塔楼  -  博爱一南', '145万', '单价12323元/平米')
('https://image1.ljcdn.com/442000-inspection/0086501d-ebe2-42dd-b29c-90e14e1eee33.jpg.296x216.jpg', '中信左岸花园 3室2厅 146万', '中信左岸花园  ', '中楼层(共24层)板楼  -  博爱一南', '146万', '单价12808元/平米')
('https://image1.ljcdn.com/442000-inspection/aafbd171-deab-4801-bfe1-af1aa03a76d5.jpg.296x216.jpg', '乐群村自建房 投资首选 交通方便', '乐群村  ', '低楼层(共4层)暂无数据  -  星宝', '265万', '单价6207元/平米')
('https://image1.ljcdn.com/442000-inspection/8c32ab54-caa2-45ea-9c73-8ef50c4a782d.jpg.296x216.jpg', '世纪新城 精装拎包入住 满二税费少', '世纪新城一期A区  ', '低楼层(共24层)2007年建板楼  -  博爱一南', '88万', '单价12756元/平米')
('https://image1.ljcdn.com/442000-inspection/8dc0d8e5-9ee4-4f8f-9322-c63112eb73a1.jpg.296x216.jpg', '中海翠林兰溪园 2房 90万 简单装修', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '90万', '单价11557元/平米')
('https://image1.ljcdn.com/442000-inspection/91b57070-fc04-4601-ba9a-bdb960526041.jpg.296x216.jpg', '时代倾城 4室2厅 168万', '时代倾城  ', '低楼层(共26层)2012年建塔楼  -  博爱一南', '168万', '单价12632元/平米')
('https://image1.ljcdn.com/442000-inspection/5aa6772c-3dd0-4a30-ac14-6e880da0f1bb.jpg.296x216.jpg', '沙溪宝嘉上筑 南向三房 户型方正', '宝嘉上筑  ', '高楼层(共28层)2008年建塔楼  -  龙瑞', '175万', '单价16356元/平米')
('https://image1.ljcdn.com/442000-inspection/e5246a0f-c017-449f-b08e-2c586ba4da7e.jpg.296x216.jpg', '康桥活力城 朝北3房2卫安静舒适阳台较大', '康桥活力城  ', '低楼层(共11层)2008年建板楼  -  星宝', '110万', '单价11984元/平米')
('https://image1.ljcdn.com/442000-inspection/79315a62-197f-46f7-bda0-3ea4f8d56ab1.jpg.296x216.jpg', '中海翠林兰溪园   电梯小三房 南北通透', '中海翠林兰溪园  ', '高楼层(共18层)2009年建板楼  -  中海翠林', '125万', '单价14626元/平米')
('https://image1.ljcdn.com/442000-inspection/7d9ad07d-c523-477c-825d-c5ae54cb950d.jpg.296x216.jpg', '中海翠林兰溪园 温馨两房 一梯两户楼梯房', '中海翠林兰溪园  ', '中楼层(共5层)2009年建板楼  -  中海翠林', '86万', '单价11057元/平米')
('https://image1.ljcdn.com/442000-inspection/eac42238-4346-4541-99e7-431ea2a258d1.jpg.296x216.jpg', '利嘉苑住宅性质 一房一厅明厨明卫明火煮饭有阳台', '利嘉苑  ', '中楼层(共17层)塔楼  -  龙瑞', '47万', '单价10256元/平米')
('https://image1.ljcdn.com/442000-inspection/c0ce3ad8-8335-48db-838d-8315ea2d90d3.jpg.296x216.jpg', '中海翠林 毛坯3房 电梯高楼层', '中海翠林兰溪园  ', '高楼层(共9层)板楼  -  中海翠林', '145万', '单价11656元/平米')
('https://image1.ljcdn.com/442000-inspection/1a40bfce-2db3-4306-8e3d-2ac9ce1d1526.jpg.296x216.jpg', '中海翠林电梯高层  精装修  诚意出售', '中海翠林兰溪园  ', '高楼层(共9层)2009年建板楼  -  中海翠林', '90万', '单价10844元/平米')
('https://image1.ljcdn.com/442000-inspection/12815da3-3516-4ea7-b3f2-f9f846119252.jpg.296x216.jpg', '世纪新城 精装3房 看江景 舒适安静 未入住过 东南向', '世纪新城一期B区  ', '中楼层(共11层)2007年建板楼  -  博爱一南', '152万', '单价15637元/平米')
('https://image1.ljcdn.com/442000-inspection/6e95400c-0cde-405f-a7e2-bf06e703d020.jpg.296x216.jpg', '中海翠林兰溪园 带装修 两房改三房 采光好', '中海翠林兰溪园  ', '低楼层(共9层)板楼  -  中海翠林', '100万', '单价10870元/平米')
('https://image1.ljcdn.com/442000-inspection/5a967fc1-815c-40b8-821d-e5d932bd7c92.jpg.296x216.jpg', '时代倾城 精装4+1房 高楼层采光通风好！', '时代倾城  ', '高楼层(共31层)2012年建塔楼  -  博爱一南', '175万', '单价13258元/平米')
('https://image1.ljcdn.com/442000-inspection/4e17ed42-2a6d-4a59-8bdc-39d78487ffbc.jpg.296x216.jpg', '金逸豪庭 精装八房 南北对流 赠私家平台', '金逸豪庭  ', '高楼层(共18层)2006年建塔楼  -  博爱一南', '295万', '单价12554元/平米')
('https://image1.ljcdn.com/442000-inspection/dfbcfa97-fc9c-43c2-9abd-b17a54a8dd52.jpg.296x216.jpg', '金逸豪庭 装修四房  朝南大阳台', '金逸豪庭  ', '低楼层(共18层)2006年建塔楼  -  博爱一南', '153万', '单价9808元/平米')
('https://image1.ljcdn.com/442000-inspection/9149c337-59dd-4fc7-a473-71616048c0e4.jpg.296x216.jpg', '时代倾城 大三房 户型方正 名牌家居诚意出售', '时代倾城  ', '高楼层(共33层)2014年建塔楼  -  博爱一南', '162万', '单价13500元/平米')
('https://image1.ljcdn.com/442000-inspection/af21a849-0dac-4576-b1e9-5e19816c9ff7.jpg.296x216.jpg', '时代倾城 精装四房两厅 格局方正', '时代倾城  ', '低楼层(共31层)2012年建塔楼  -  博爱一南', '197.4万', '单价15000元/平米')
('https://image1.ljcdn.com/442000-inspection/f4d4141f-97a4-4d60-9879-da593e717e02.jpg.296x216.jpg', '世纪新城 三期 高层 四房 看房方便', '世纪新城三期  ', '高楼层(共30层)板楼  -  博爱一南', '230万', '单价15973元/平米')
('https://image1.ljcdn.com/442000-inspection/d3afb608-1445-47dc-a519-3b5c8bb03e76.jpg.296x216.jpg', '出售世纪新城A区，南北对流户型，高楼层，满五年！', '世纪新城一期A区  ', '高楼层(共18层)2007年建板楼  -  博爱一南', '182万', '单价14665元/平米')
('https://image1.ljcdn.com/442000-inspection/5cf65a77-087a-474f-b11f-9f76bfc3ffcd.jpg.296x216.jpg', '世纪新城B区 三房两卫 江景房 满五唯一 看房方便', '世纪新城一期B区  ', '中楼层(共26层)2007年建板楼  -  博爱一南', '204.9万', '单价16000元/平米')
('https://image1.ljcdn.com/442000-inspection/091a54d6-55a1-43b6-bcb5-49b71f9fe7c0.jpg.296x216.jpg', '时代倾城 精装3+2 诚意出售', '时代倾城  ', '高楼层(共33层)2012年建塔楼  -  博爱一南', '190万', '单价14798元/平米')
('https://image1.ljcdn.com/442000-inspection/77f147b1-1fd1-418e-9335-acdf5b64ad67.jpg.296x216.jpg', '名仕蓝溪苑 3室2厅 105万', '名仕蓝溪苑  ', '中楼层(共15层)2013年建塔楼  -  厚山广场', '105万', '单价11291元/平米')
('https://image1.ljcdn.com/442000-inspection/40f4b1c2-3490-4227-b108-1a1c858baf97.jpg.296x216.jpg', '中海翠林 精装 电梯两房 中层南向 满两年 看房方便', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '88万', '单价10480元/平米')
('https://image1.ljcdn.com/442000-inspection/e44d87a5-c763-4d8c-a483-500ddd038b67.jpg.296x216.jpg', '中信左岸 南北对流 满五唯一 诚意出售', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '148万', '单价13098元/平米')
('https://image1.ljcdn.com/442000-inspection/d6d27bf0-4eb9-46f9-8e23-a84bfd1b646c.jpg.296x216.jpg', '宝嘉上筑 南北对流 格局方正 诚心出售', '宝嘉上筑  ', '低楼层(共24层)2008年建塔楼  -  龙瑞', '182万', '单价14309元/平米')
('https://image1.ljcdn.com/442000-inspection/9578f009-2fbd-4dbf-88cd-ffc33308c223.jpg.296x216.jpg', '世纪新城 黄金楼层 三房可做四房', '世纪新城三期  ', '高楼层(共23层)板楼  -  博爱一南', '160万', '单价12800元/平米')
('https://image1.ljcdn.com/442000-inspection/9db77eb1-1b77-4d57-b3ca-ee67c38032a8.jpg.296x216.jpg', '沙溪星宝商圈  宝兴花园 温馨3房业主诚心出售', '宝兴花园  ', '中楼层(共6层)2005年建塔楼  -  星宝', '78万', '单价9136元/平米')
('https://image1.ljcdn.com/442000-inspection/89e4abdd-57b7-4edf-853c-1742f5a14453.jpg.296x216.jpg', '利嘉苑 住宅性质公寓 业主诚售', '利嘉苑  ', '中楼层(共17层)塔楼  -  龙瑞', '40万', '单价10811元/平米')
('https://image1.ljcdn.com/442000-inspection/c3ecdf53-2449-4f7d-bda9-2c93af9bab19.jpg.296x216.jpg', '时代倾城 精致2房 诚意出售 配套完善', '时代倾城  ', '低楼层(共24层)2012年建塔楼  -  博爱一南', '135万', '单价14756元/平米')
('https://image1.ljcdn.com/442000-inspection/a6026835-f6a4-48cb-9206-05a9c5a82f4f.jpg.296x216.jpg', '沙溪奥园金域 四房两卫 高层视野无遮挡 看房方便', '奥园金域  ', '高楼层(共32层)塔楼  -  汽车总站', '150万', '单价10792元/平米')
('https://image1.ljcdn.com/442000-inspection/e4d26e0c-582b-41ac-b7d1-9917fbb74228.jpg.296x216.jpg', '中海翠林  南北通透4房  送入户花园  10米超大阳台', '中海翠林兰溪园  ', '高楼层(共6层)2009年建板楼  -  中海翠林', '122万', '单价8715元/平米')
('https://image1.ljcdn.com/442000-inspection/f09831fd-1b9a-48dc-9c48-3d6c4e82f633.jpg.296x216.jpg', '中海翠林兰溪园 毛坯房 双拼别墅 带车库', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '500万', '单价18588元/平米')
('https://image1.ljcdn.com/442000-inspection/c1d98585-21f8-4751-ae1e-c6114bf362ae.jpg.296x216.jpg', '世纪新城 精装3房 保养新 南北对流', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '210万', '单价14769元/平米')
('https://image1.ljcdn.com/442000-inspection/ab51b552-70cd-4f8b-9f31-7eab8df5f821.jpg.296x216.jpg', '中海翠林兰溪园 联排别墅 毛坯房', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '411万', '单价18020元/平米')
('https://image1.ljcdn.com/442000-inspection/4247aa52-11de-4765-a1a2-b25ea7955e05.jpg.296x216.jpg', '世纪新城 毛坯两房 位置安静 诚意出售', '世纪新城一期B区  ', '高楼层(共11层)2007年建板楼  -  博爱一南', '115万', '单价13373元/平米')
('https://image1.ljcdn.com/442000-inspection/ea5d02a0-da0c-4f65-8322-0a3b1bc1d316.jpg.296x216.jpg', '独栋别墅 花园占地420平方 地下室145平方', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '930万', '单价23536元/平米')
