('https://image1.ljcdn.com/410100-inspection/13399e0d-8de0-4980-93e3-09a78e0d9058.jpg.296x216.jpg', '金沙湖高尔夫观邸，观景房，高档社区，业主诚心出售', '金沙湖高尔夫观邸  ', '低楼层(共27层)暂无数据  -  第八大街', '500万', '单价16779元/平米')
('https://image1.ljcdn.com/410100-inspection/test-621d51e5-d42d-46aa-9b92-d2881d7e323a.png.296x216.jpg', '中秋特价236 富田九鼎世家 只要236 惊呆啦', '富田九鼎世家  ', '低楼层(共25层)板塔结合  -  第三大街', '238万', '单价18574元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload196f613a-b53f-4260-9afb-98d070a9592a.jpg.296x216.jpg', '富田九鼎世家精装修南向两房前后无遮挡', '富田九鼎世家  ', '低楼层(共26层)板塔结合  -  第三大街', '165万', '单价19504元/平米')
('https://image1.ljcdn.com/410100-inspection/580966a8-b304-4e43-a7df-d7aa2670bfb9.jpg.296x216.jpg', '小区南门门口，位置好，一层住宅，适合做生意，税费少', '远大理想城  ', '低楼层(共32层)板塔结合  -  第三大街', '200万', '单价16529元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload81ecc3cf-af4c-4448-99bf-73312f23bc1a.jpg.296x216.jpg', '远大理想城，一室一厅出售，随时看房', '远大理想城  ', '高楼层(共33层)板塔结合  -  第三大街', '95万', '单价18628元/平米')
('https://image1.ljcdn.com/410100-inspection/test-32fb29ab-a81a-4926-8cf6-6beb30449794.png.296x216.jpg', '南北通透，有房本，小区环境好，人车分流', '恒大绿洲  ', '中楼层(共33层)板楼  -  第三大街', '280万', '单价22223元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload19c8be1f-7a42-414e-be0c-614b82e0551a.jpg.296x216.jpg', '远大理想城 小高层 南北通透  三居室  送家具家电', '远大理想城  ', '低楼层(共11层)板楼  -  第三大街', '200万', '单价17544元/平米')
('https://image1.ljcdn.com/410100-inspection/14ac9af0-36f8-4272-bf02-853a4c9a2d79.jpg.296x216.jpg', '小区南门门口，位置好，一层成套住宅，适合做生意，', '远大理想城  ', '低楼层(共32层)板塔结合  -  第三大街', '340万', '单价19768元/平米')
('https://image1.ljcdn.com/410100-inspection/8a8f4f4f-a15f-4f68-b985-c9ce8babedb0.jpg.296x216.jpg', '房子满五年，房子一楼，采光无遮挡', '远大理想城  ', '低楼层(共6层)板楼  -  第三大街', '210万', '单价18261元/平米')
('https://image1.ljcdn.com/110000-inspection/a535d335-46be-4b58-b8fd-5e97342356fe.jpg.296x216.jpg', '加州第 一城 7号楼 王 二楼东户 得房率高 采光无遮挡', '加州第一城  ', '低楼层(共6层)暂无数据  -  第三大街', '220万', '单价16418元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload9f73aa63-16b3-4410-b6e1-77be1047f4d6.jpg.296x216.jpg', '正规两居室，采光好，视野开阔。', '远大理想城  ', '中楼层(共26层)板塔结合  -  第三大街', '160万', '单价17022元/平米')
