('https://image1.ljcdn.com/410100-inspection/66b854b0-dc59-4c81-bb96-638a500f0d2d.jpg.296x216.jpg', '中原西路 清华大溪地别墅 冬有温泉 夏有水公园', '清华大溪地3号院  ', '低楼层(共4层)板楼  -  荥阳', '350万', '单价9804元/平米')
('https://image1.ljcdn.com/410100-inspection/dcaf14b4-6810-42bd-bd94-a978c249b987.jpg.296x216.jpg', '清华大溪地洋房 一梯一户 三阳台一露台 满五唯一', '清华大溪地  ', '低楼层(共6层)暂无数据  -  荥阳', '135万', '单价10852元/平米')
('', '清华大溪地 3室2厅 125万', '清华大溪地  ', '低楼层(共32层)板楼  -  荥阳', '125万', '单价10291元/平米')
('', '郑州碧桂园一期洋房芷兰湾，精装修家具家电全领包入住', '郑州碧桂园  ', '低楼层(共7层)暂无数据  -  荥阳', '260万', '单价13695元/平米')
('', '郑州碧桂园一期柏林郡别墅洋房，环境优美前庭后院1~4', '郑州碧桂园  ', '低楼层(共4层)暂无数据  -  荥阳', '540万', '单价22979元/平米')
('', '郑州碧桂园一期柏林郡别墅，适合居住绿化面积大', '郑州碧桂园  ', '低楼层(共4层)暂无数据  -  荥阳', '560万', '单价23830元/平米')
('', '业主诚心出售，建海绿荫半岛中间楼盘，急急急', '建海绿荫半岛  ', '低楼层(共26层)暂无数据  -  荥阳', '120万', '单价9221元/平米')
('', '清华大溪地 大两房 均价八千五 价位可谈 满五年 急售', '清华大溪地  ', '高楼层(共18层)板楼  -  荥阳', '81万', '单价8346元/平米')
('https://image1.ljcdn.com/410100-inspection/b5fa1cab-6378-412b-af0e-2f6dacc2f76f.jpg.296x216.jpg', '清华大溪地，婚房装修，郑西一中，精装二居，地铁10号', '清华大溪地  ', '中楼层(共17层)板楼  -  荥阳', '83万', '单价8470元/平米')
('', '中原西路 商隐路 双气地暖花园别墅 大别墅住宅价', '清华大溪地2号院  ', '低楼层(共4层)暂无数据  -  荥阳', '427万', '单价11999元/平米')
('', '中原西路 地铁口 双气地暖大三房 花园洋房', '清华大溪地3号院  ', '中楼层(共5层)暂无数据  -  荥阳', '165万', '单价11396元/平米')
('', '满五年，别墅住宅，卧室都带露台', '清华大溪地2号院  ', '低楼层(共4层)暂无数据  -  荥阳', '660万', '单价18184元/平米')
('', '洞林湖新田城 超低密度 养生优选 环境优美 配套完善', '洞林湖新田城别墅区E区  ', '3层暂无数据  -  荥阳', '500万', '单价17362元/平米')
('', '郑州碧桂园二期，一楼带大院，全名地下室，', '郑州碧桂园二期  ', '低楼层(共6层)暂无数据  -  荥阳', '198万', '单价14143元/平米')
('', '郑州碧桂园一期洋房，中间楼层，采光通透好', '郑州碧桂园  ', '中楼层(共7层)暂无数据  -  荥阳', '270万', '单价18882元/平米')
